time_sec,gps_x,gps_y,battery_pct,left_enc,right_enc,coverage_pct,behavior
0.5,0.00,-1528.25,99.9,0.00,0.00,0.0,CLEAN
4.0,1.93,-0.84,99.6,1.34,0.35,0.0,AVOID
11.3,1.64,-1.43,99.0,1.10,0.03,0.7,CLEAN
17.2,1.62,-1.52,98.5,1.49,-0.42,0.7,CLEAN
25.6,1.46,-1.37,97.8,-2.23,-1.53,1.4,CLEAN
33.2,1.54,-1.54,97.2,-4.80,-3.25,1.4,CLEAN
41.0,1.48,-1.36,96.5,-4.27,-5.12,1.4,CLEAN
48.6,1.44,-1.19,95.9,-7.56,-3.77,2.4,CLEAN
55.4,1.60,-1.08,95.3,-11.06,-4.47,2.8,CLEAN
73.3,1.56,-0.55,93.8,-9.73,-1.17,3.5,CLEAN
79.8,0.81,-0.85,93.3,-8.75,-1.29,5.5,CLEAN
86.9,0.74,-0.86,92.8,-10.08,-1.78,6.2,CLEAN
93.3,0.83,-0.95,92.2,-9.80,-1.66,6.6,CLEAN
100.5,0.67,-0.70,91.6,-12.42,0.06,6.9,CLEAN
108.6,0.72,-0.98,90.9,-15.87,-2.54,6.9,CLEAN
116.1,0.64,-0.79,90.3,-15.62,-3.54,6.9,CLEAN
124.2,0.63,-0.84,89.6,-15.75,-3.54,6.9,CLEAN
131.9,0.71,-0.98,89.0,-16.29,-3.47,6.9,CLEAN
139.6,0.84,-1.26,88.3,-16.33,-4.49,7.6,CLEAN
147.6,0.83,-1.22,87.7,-18.60,-4.79,7.6,CLEAN
155.9,0.72,-1.21,87.0,-21.21,-5.69,8.0,CLEAN
164.3,0.67,-0.96,86.3,-20.61,-7.81,8.0,CLEAN
172.6,0.53,-0.96,85.6,-23.08,-10.34,8.3,CLEAN
181.3,0.56,-1.03,84.8,-24.10,-10.33,8.3,CLEAN
190.0,0.57,-1.04,84.2,-23.37,-10.16,8.7,CLEAN
197.7,0.69,-1.08,83.5,-24.87,-9.81,8.7,CLEAN
206.4,0.70,-1.08,82.8,-24.94,-9.41,8.7,CLEAN
214.4,0.67,-1.15,82.1,-26.54,-12.48,8.7,CLEAN
222.5,0.71,-1.17,81.4,-26.98,-12.23,8.7,CLEAN
230.7,0.71,-1.22,80.8,-27.68,-13.83,9.0,CLEAN
238.1,0.83,-1.10,80.2,-27.70,-14.70,9.0,CLEAN
244.3,1.25,-0.87,79.6,-26.59,-12.89,9.7,CLEAN
250.2,0.70,-0.71,79.1,-24.73,-11.25,10.4,CLEAN
256.4,0.43,-0.52,78.6,-22.59,-10.31,11.1,CLEAN
263.2,0.49,-0.09,78.0,-20.18,-9.03,11.8,CLEAN
269.4,0.92,0.00,77.5,-18.36,-7.68,12.8,CLEAN
275.0,1.31,-0.15,77.1,-17.13,-5.92,13.8,CLEAN
280.1,1.33,-0.03,76.6,-17.54,-4.50,14.2,CLEAN
286.3,1.05,0.31,76.1,-16.14,-1.99,14.9,CLEAN
292.7,0.63,0.37,75.6,-14.89,-0.01,15.9,CLEAN
299.3,0.24,0.23,75.0,-13.66,2.07,16.6,CLEAN
305.6,0.18,-0.29,74.5,-11.84,4.78,17.6,CLEAN
312.4,0.36,-0.83,73.9,-9.64,7.30,18.3,CLEAN
320.4,0.63,-1.24,73.3,-7.95,9.15,18.3,CLEAN
327.7,0.61,-1.58,72.7,-5.54,10.01,18.7,CLEAN
333.9,0.09,-1.85,72.2,-2.78,12.05,18.7,AVOID
340.4,-0.31,-1.86,71.6,-0.77,13.86,18.7,AVOID
347.1,-0.92,-1.85,71.0,1.60,16.26,18.7,AVOID
353.1,-1.39,-1.81,70.5,3.48,17.70,18.7,CLEAN
360.5,-1.61,-2.05,69.9,2.56,17.19,19.0,AVOID
368.2,-1.93,-1.55,69.3,1.33,17.62,19.0,AVOID
375.5,-1.81,-0.63,68.7,0.99,17.47,19.0,CLEAN
384.2,-1.69,-0.90,67.9,-1.28,17.66,20.1,CLEAN
392.8,-1.99,-0.64,67.3,-3.67,16.27,20.1,AVOID
400.7,-1.48,0.61,66.6,-5.75,16.47,20.8,CLEAN
409.0,-1.44,0.60,65.9,-7.89,14.44,21.1,CLEAN
417.0,-1.44,0.60,65.3,-7.99,15.29,21.1,CLEAN
425.1,-1.42,0.65,64.5,-10.65,11.74,21.1,CLEAN
433.3,-1.51,0.62,63.8,-12.23,10.19,21.1,CLEAN
441.0,-1.73,0.73,63.2,-12.41,9.25,21.1,CLEAN
447.2,-1.28,0.82,62.7,-10.21,10.15,21.8,CLEAN
455.5,-1.66,0.10,62.0,-8.19,11.46,23.2,CLEAN
461.9,-1.15,0.11,61.5,-7.36,13.46,24.6,CLEAN
469.8,-1.02,0.10,60.8,-7.78,13.14,25.6,CLEAN
499.4,-1.59,0.05,58.3,-6.22,14.59,26.0,CLEAN
558.3,-1.50,-0.44,53.4,-4.29,16.14,26.3,CLEAN
625.9,-0.98,-1.13,47.8,0.72,18.94,28.0,CLEAN
664.6,-1.43,-0.98,44.6,2.85,19.70,29.1,CLEAN
734.7,-0.98,-0.83,38.8,5.48,21.52,30.1,CLEAN
845.9,-0.96,-0.72,29.5,5.25,19.60,30.8,TRACK
963.1,-1.09,-0.97,19.7,5.61,21.48,31.1,TRACK
1050.2,-0.80,-0.46,12.4,7.35,23.20,32.2,TRACK
1120.1,-1.08,-1.01,6.7,8.95,25.64,32.2,TRACK
1148.1,-0.21,-0.86,4.2,11.33,28.64,33.2,TRACK
1156.8,0.45,-1.12,3.6,10.52,29.06,33.6,TRACK
1165.0,0.18,-0.90,2.9,12.22,29.53,34.6,TRACK
1172.3,1.05,-0.59,2.2,15.81,32.19,34.6,TRACK
1175.4,1.45,-0.60,2.0,17.19,33.33,34.6,TRACK
1175.7,1.45,-0.60,2.0,17.19,33.33,34.6,TRACK
1176.0,1.50,-0.61,2.0,17.39,33.51,34.6,TRACK
1176.2,1.50,-0.61,1.9,17.39,33.51,34.6,TRACK
1176.5,1.52,-0.61,1.9,17.48,33.59,34.6,TRACK
1176.8,1.52,-0.61,1.9,17.48,33.59,34.6,TRACK
1177.1,1.53,-0.61,1.8,17.53,33.65,34.6,TRACK
1177.3,1.53,-0.61,1.8,17.59,33.70,34.6,TRACK
