time_sec,gps_x,gps_y,battery_pct,left_enc,right_enc,coverage_pct,behavior
0.6,0.00,0.00,99.9,0.00,0.00,0.3,CLEAN
4.4,1.85,-0.80,99.6,0.98,-0.04,0.3,AVOID
10.7,1.95,-1.23,99.0,3.59,1.61,0.3,CLEAN
16.6,1.66,-1.79,98.5,6.44,3.56,0.3,CLEAN
24.1,0.52,-1.86,97.9,5.88,7.02,0.3,CLEAN
32.0,0.52,-1.53,97.3,6.66,3.22,0.7,CLEAN
39.3,0.38,-1.65,96.7,6.45,3.36,1.0,CLEAN
45.7,0.76,-1.14,96.1,7.32,3.06,2.1,CLEAN
53.4,1.11,-1.27,95.5,5.35,0.39,3.5,CLEAN
60.5,1.29,-1.19,94.9,4.72,0.80,4.8,CLEAN
68.4,1.71,-1.08,94.3,5.42,-2.08,5.2,CLEAN
75.7,1.98,-1.58,93.6,2.44,-0.17,5.2,AVOID
83.5,1.79,-1.42,93.0,3.99,1.07,5.2,CLEAN
90.8,1.75,-1.83,92.3,1.09,2.94,5.9,AVOID
98.0,1.28,-1.60,91.8,1.78,3.29,6.6,CLEAN
104.1,0.64,-1.94,91.3,4.31,6.14,6.6,AVOID
111.5,0.38,-1.76,90.7,1.52,6.03,6.6,CLEAN
119.4,0.42,-1.53,90.0,0.86,5.74,6.6,CLEAN
127.0,-0.11,-1.79,89.3,1.14,6.93,6.9,CLEAN
135.6,0.13,-1.73,88.7,-2.17,5.57,6.9,CLEAN
143.3,0.11,-1.55,88.0,-4.40,3.35,6.9,CLEAN
151.0,0.29,-1.73,87.3,-4.84,0.14,6.9,CLEAN
159.0,0.16,-2.08,86.7,-8.06,-2.59,6.9,AVOID
166.2,0.10,-2.02,86.1,-10.04,-3.82,6.9,AVOID
173.1,-0.23,-2.00,85.5,-11.63,-2.98,6.9,CLEAN
181.4,-0.25,-1.64,84.8,-14.21,-4.43,7.6,CLEAN
189.1,-0.19,-1.61,84.2,-16.29,-6.50,8.0,CLEAN
196.4,-0.32,-1.66,83.6,-19.46,-8.55,8.0,CLEAN
204.4,-0.54,-1.74,82.9,-20.15,-9.37,8.0,CLEAN
211.6,-0.90,-1.89,82.3,-20.69,-11.31,8.0,CLEAN
217.2,-0.33,-1.83,81.8,-18.26,-9.14,8.0,CLEAN
224.9,0.14,-1.61,81.2,-17.82,-9.13,8.0,CLEAN
232.5,0.29,-1.39,80.6,-17.58,-9.13,8.3,CLEAN
240.4,0.38,-1.32,79.9,-20.86,-12.58,8.3,CLEAN
248.5,0.38,-1.07,79.3,-22.41,-12.98,9.0,CLEAN
256.7,0.57,-1.29,78.5,-23.56,-16.48,9.0,CLEAN
264.6,0.57,-1.50,77.8,-27.00,-20.04,9.3,CLEAN
273.1,0.60,-1.50,77.2,-30.72,-22.01,9.3,CLEAN
280.5,0.56,-1.57,76.6,-33.10,-23.25,9.3,CLEAN
288.4,0.42,-1.18,75.9,-34.65,-22.25,10.0,CLEAN
297.0,0.38,-1.09,75.2,-36.99,-26.56,10.0,CLEAN
304.3,0.65,-0.56,74.6,-38.86,-29.70,11.1,CLEAN
312.4,0.64,-0.76,73.9,-39.80,-34.35,11.1,CLEAN
320.5,0.48,-0.92,73.3,-42.43,-36.25,11.4,CLEAN
328.5,0.56,-0.93,72.6,-43.93,-37.27,11.4,CLEAN
336.4,0.50,-1.01,71.9,-44.97,-38.48,11.4,CLEAN
343.6,0.95,-0.78,71.3,-43.46,-40.47,11.8,CLEAN
351.6,0.88,-0.71,70.6,-46.16,-43.78,12.1,CLEAN
359.7,1.04,-0.76,69.9,-49.16,-45.87,12.5,CLEAN
367.6,1.06,-0.82,69.3,-52.03,-49.67,13.1,CLEAN
375.1,1.06,-0.71,68.7,-54.87,-50.85,13.1,CLEAN
383.6,1.23,-0.78,67.9,-57.37,-53.45,13.1,CLEAN
391.6,0.86,-0.82,67.3,-60.35,-54.51,13.1,CLEAN
399.6,1.03,-0.66,66.6,-60.29,-54.52,13.1,CLEAN
406.6,0.38,-0.01,66.0,-59.34,-53.99,15.2,CLEAN
414.5,0.20,-0.14,65.4,-59.65,-53.55,15.9,CLEAN
422.3,-0.01,0.08,64.8,-59.44,-53.29,16.6,CLEAN
432.6,-0.06,-0.05,63.8,-58.18,-53.76,18.0,CLEAN
441.9,-0.08,-0.08,63.2,-57.35,-53.20,18.0,CLEAN
450.7,-0.07,-0.09,62.3,-56.25,-51.80,18.0,CLEAN
459.6,-0.08,-0.06,61.7,-54.30,-51.54,18.0,CLEAN
468.3,0.05,0.34,60.9,-52.51,-52.23,18.7,CLEAN
478.3,0.06,0.33,60.1,-51.29,-50.82,18.7,CLEAN
487.6,0.13,0.35,59.3,-50.48,-49.99,18.7,CLEAN
497.2,0.17,0.43,58.5,-50.69,-49.14,19.0,CLEAN
507.2,0.17,0.43,57.7,-49.30,-47.89,19.0,CLEAN
516.9,0.16,0.44,56.8,-48.40,-47.11,19.0,CLEAN
525.9,0.21,0.43,56.1,-46.80,-47.56,19.0,CLEAN
535.5,0.25,0.58,55.3,-50.93,-50.92,20.1,CLEAN
544.5,0.26,0.54,54.6,-49.70,-49.67,20.1,CLEAN
554.8,0.25,0.54,53.7,-48.24,-48.37,20.1,CLEAN
563.3,0.24,0.55,53.0,-47.20,-47.12,20.1,CLEAN
573.5,0.25,0.55,52.2,-45.91,-45.77,20.1,CLEAN
582.7,0.09,0.74,51.3,-45.21,-46.54,20.4,CLEAN
592.4,-2.18,0.95,50.6,-50.63,-49.74,24.2,AVOID
602.1,-1.26,1.17,49.8,-52.18,-49.74,24.9,CLEAN
612.4,-1.27,1.17,48.9,-50.79,-48.31,25.3,CLEAN
621.9,-1.29,1.21,48.1,-50.04,-47.53,25.3,CLEAN
631.4,-1.28,1.20,47.3,-48.84,-46.28,25.3,CLEAN
640.5,-1.29,1.20,46.6,-48.70,-47.27,25.3,CLEAN
649.7,-1.68,1.85,45.8,-51.26,-47.78,25.6,CLEAN
658.8,-1.70,1.86,45.0,-50.14,-46.49,25.6,CLEAN
