time_sec,distance_m,battery_pct,behaviour
5.0,1.115,99.5,CLEAN
7.0,2.168,99.1,CLEAN
9.0,2.782,98.8,CLEAN
11.0,3.457,98.5,CLEAN
13.0,4.064,98.3,CLEAN
16.0,4.826,97.9,CLEAN
18.0,5.549,97.6,CLEAN
21.0,6.456,97.2,CLEAN
24.0,7.184,96.8,CLEAN
26.0,8.324,96.5,CLEAN
28.0,9.311,96.3,CLEAN
31.0,10.272,95.9,CLEAN
33.0,11.202,95.6,CLEAN
35.0,11.839,95.3,CLEAN
38.0,12.580,94.9,CLEAN
41.0,13.309,94.5,CLEAN
44.0,14.027,94.1,AVOID
46.0,14.701,93.9,AVOID
57.0,15.740,92.4,CLEAN
60.0,16.539,92.0,CLEAN
62.0,17.167,91.7,CLEAN
65.0,17.834,91.3,CLEAN
67.0,18.709,91.1,CLEAN
70.0,19.455,90.7,CLEAN
79.0,21.014,89.5,CLEAN
82.0,21.724,89.1,CLEAN
84.0,22.336,88.8,CLEAN
87.0,23.195,88.5,CLEAN
89.0,23.831,88.1,CLEAN
91.0,24.790,87.9,CLEAN
94.0,26.063,87.5,CLEAN
96.0,27.078,87.2,CLEAN
99.0,27.977,86.8,CLEAN
102.0,28.984,86.4,CLEAN
104.0,30.003,86.1,CLEAN
107.0,31.267,85.7,CLEAN
109.0,32.212,85.5,CLEAN
112.0,33.095,85.1,CLEAN
114.0,34.022,84.8,CLEAN
117.0,35.011,84.4,AVOID
119.0,35.543,84.1,AVOID
122.0,36.026,83.7,AVOID
133.0,37.858,82.3,CLEAN
136.0,39.130,81.9,CLEAN
138.0,39.931,81.6,CLEAN
152.0,41.416,79.7,CLEAN
155.0,42.154,79.5,CLEAN
157.0,43.185,79.1,CLEAN
159.0,43.997,78.8,CLEAN
162.0,44.836,78.4,CLEAN
187.0,50.119,75.1,CLEAN
190.0,50.933,74.7,CLEAN
192.0,51.503,74.4,AVOID
195.0,52.035,74.0,AVOID
198.0,52.739,73.6,AVOID
200.0,53.164,73.3,AVOID
209.0,54.928,72.1,CLEAN
211.0,55.769,71.9,CLEAN
213.0,56.781,71.6,CLEAN
216.0,57.941,71.2,CLEAN
219.0,59.004,70.8,CLEAN
221.0,59.678,70.5,CLEAN
243.0,65.095,67.6,CLEAN
246.0,66.003,67.2,CLEAN
248.0,66.642,66.9,CLEAN
251.0,67.503,66.5,CLEAN
253.0,67.961,66.3,AVOID
255.0,68.556,66.0,AVOID
263.0,70.229,64.9,CLEAN
266.0,71.043,64.5,CLEAN
268.0,71.712,64.3,CLEAN
271.0,72.660,63.9,CLEAN
273.0,73.938,63.6,CLEAN
276.0,74.793,63.2,CLEAN
278.0,75.602,62.9,CLEAN
281.0,76.574,62.5,CLEAN
308.0,80.552,58.9,CLEAN
310.0,81.096,58.7,AVOID
312.0,81.433,58.4,AVOID
315.0,82.102,58.1,AVOID
317.0,82.791,57.7,AVOID
320.0,83.348,57.3,AVOID
330.0,84.259,56.0,AVOID
332.0,84.803,55.7,AVOID
334.0,85.483,55.5,AVOID
344.0,86.457,54.1,CLEAN
346.0,87.290,53.9,CLEAN
349.0,88.023,53.5,CLEAN
351.0,89.302,53.2,CLEAN
