time_sec,gps_x,gps_y,battery_pct,left_enc,right_enc,coverage_pct,behavior
0.5,0.00,-0.01,99.9,0.00,0.00,0.3,CLEAN
4.9,1.97,-0.77,99.6,1.01,0.79,0.7,AVOID
11.5,1.99,-0.98,99.0,2.97,0.39,0.7,AVOID
18.4,2.10,-1.17,98.4,1.93,-1.93,0.7,CLEAN
25.0,1.92,-1.12,97.8,1.74,-3.07,0.7,AVOID
32.5,2.02,-1.85,97.3,-0.56,-3.25,0.7,AVOID
40.5,1.71,-1.70,96.6,-4.20,-4.53,0.7,CLEAN
48.3,1.84,-1.57,95.9,-5.55,-5.10,1.0,CLEAN
55.8,1.82,-1.56,95.3,-6.95,-7.53,1.0,CLEAN
62.9,1.24,-1.13,94.7,-7.50,-8.61,2.4,CLEAN
69.5,0.41,-1.09,94.2,-8.84,-9.87,4.8,CLEAN
75.9,0.68,-1.46,93.6,-10.80,-9.33,5.5,CLEAN
84.0,0.65,-1.43,92.9,-9.81,-10.57,5.5,CLEAN
91.4,0.73,-1.47,92.3,-12.72,-12.44,5.5,CLEAN
99.0,0.79,-1.61,91.7,-13.17,-14.92,5.9,CLEAN
107.5,0.72,-1.66,91.0,-14.95,-17.77,5.9,CLEAN
114.4,0.60,-1.59,90.4,-16.53,-16.15,5.9,CLEAN
122.2,0.47,-1.63,89.8,-19.22,-18.83,6.2,CLEAN
128.7,0.59,-1.74,89.3,-20.34,-19.19,6.2,CLEAN
136.8,0.54,-2.02,88.6,-20.77,-20.37,6.2,AVOID
145.0,-0.54,-1.88,87.8,-22.40,-18.70,6.2,CLEAN
153.1,-1.44,-1.84,87.2,-24.91,-17.53,6.2,CLEAN
160.5,-1.23,-2.01,86.6,-27.02,-19.23,6.2,CLEAN
168.0,-1.46,-2.13,85.9,-30.53,-21.82,6.2,CLEAN
175.2,-1.74,-1.94,85.4,-31.49,-22.08,6.2,CLEAN
182.4,-1.89,-1.33,84.8,-32.26,-23.68,6.2,AVOID
189.1,-1.76,-1.21,84.2,-32.91,-25.18,6.2,CLEAN
196.3,-1.68,-1.64,83.6,-33.27,-26.38,6.2,CLEAN
200.5,-1.89,-1.94,83.3,-32.88,-25.80,6.2,AVOID
208.0,-1.78,-1.83,82.6,-35.34,-28.58,6.2,CLEAN
214.9,-2.03,-1.22,82.1,-35.72,-28.85,6.2,AVOID
221.9,-2.01,-0.51,81.5,-37.00,-30.23,6.2,AVOID
229.0,-2.03,0.29,80.8,-37.17,-30.70,6.2,CLEAN
236.5,-1.82,0.96,80.2,-40.04,-31.59,6.2,CLEAN
245.3,-1.80,0.69,79.5,-43.28,-34.02,6.9,CLEAN
252.1,-1.49,1.04,78.9,-42.29,-33.85,6.9,CLEAN
261.1,-1.34,1.08,78.2,-42.15,-34.81,7.3,CLEAN
268.7,-0.86,0.15,77.6,-41.97,-35.88,9.3,CLEAN
275.7,-0.89,0.22,77.0,-41.53,-36.51,9.7,CLEAN
284.0,-0.70,0.27,76.3,-41.60,-37.31,9.7,CLEAN
292.1,-0.76,0.26,75.6,-41.92,-37.35,9.7,CLEAN
299.9,-0.73,0.17,75.0,-42.96,-37.39,9.7,CLEAN
308.1,-0.65,0.22,74.3,-42.36,-40.14,10.0,CLEAN
315.1,-0.54,-0.32,73.7,-41.16,-39.27,11.4,CLEAN
326.3,-0.63,-0.33,72.8,-41.29,-40.35,11.8,CLEAN
335.8,-0.61,-0.30,72.0,-39.94,-39.98,11.8,CLEAN
345.3,-0.59,-0.32,71.2,-39.13,-39.13,11.8,CLEAN
354.4,-0.57,-0.33,70.4,-37.81,-37.78,11.8,CLEAN
364.6,-0.56,-0.32,69.6,-36.78,-35.88,11.8,CLEAN
374.2,-0.32,-0.37,68.8,-36.74,-35.98,12.1,CLEAN
383.8,-0.33,-0.35,68.0,-37.52,-33.80,12.1,CLEAN
393.0,0.21,-1.55,67.2,-40.77,-37.37,14.5,CLEAN
401.9,0.25,-1.55,66.4,-43.14,-39.38,14.5,CLEAN
411.1,0.02,-1.44,65.7,-43.78,-41.09,14.9,CLEAN
420.7,0.00,-1.42,64.9,-42.36,-39.72,14.9,CLEAN
429.8,0.00,-1.42,64.2,-40.64,-39.08,14.9,CLEAN
440.1,0.00,-1.41,63.2,-39.12,-37.63,14.9,CLEAN
450.2,0.00,-1.41,62.4,-37.69,-36.11,14.9,CLEAN
459.7,-0.04,-1.41,61.7,-37.33,-34.75,14.9,CLEAN
469.4,-0.04,-1.41,60.8,-35.92,-33.35,14.9,CLEAN
479.6,-0.05,-1.40,60.0,-34.57,-31.75,14.9,CLEAN
488.8,-0.08,-1.34,59.3,-34.72,-32.30,14.9,CLEAN
498.1,-0.08,-1.33,58.4,-33.71,-32.26,14.9,CLEAN
507.9,-0.04,-1.45,57.7,-34.72,-31.23,15.2,CLEAN
517.6,-0.05,-1.46,56.8,-33.41,-29.70,15.6,CLEAN
527.2,-0.06,-1.46,56.0,-32.10,-28.18,15.6,CLEAN
536.8,-0.04,-1.44,55.3,-31.15,-27.32,15.6,CLEAN
546.4,-1.12,-1.03,54.4,-31.42,-29.26,17.3,CLEAN
554.3,-1.69,-1.01,53.8,-33.45,-27.04,18.3,CLEAN
564.6,-1.69,-1.00,52.9,-31.90,-25.59,18.3,CLEAN
574.3,-1.70,-1.01,52.1,-30.48,-24.21,18.3,CLEAN
586.2,-1.58,-1.17,51.1,-30.94,-22.50,18.3,CLEAN
594.5,-1.61,-0.92,50.4,-30.58,-24.06,18.7,CLEAN
602.5,-1.66,-0.87,49.8,-32.30,-24.85,18.7,CLEAN
610.3,-1.43,-0.88,49.1,-32.81,-23.56,18.7,CLEAN
619.0,-1.14,-0.47,48.3,-33.80,-22.29,20.1,CLEAN
626.9,-0.71,-0.01,47.8,-36.38,-22.09,20.8,CLEAN
635.5,-0.63,0.00,47.0,-36.73,-21.46,21.1,CLEAN
644.3,-0.62,0.06,46.3,-36.80,-22.38,21.1,CLEAN
652.7,-0.59,-0.02,45.6,-38.12,-23.06,21.1,CLEAN
660.8,-0.43,-0.11,44.9,-39.66,-26.35,21.5,CLEAN
668.7,-0.48,-0.03,44.2,-38.45,-26.74,21.5,CLEAN
677.0,-0.71,0.34,43.5,-37.82,-26.95,22.1,CLEAN
685.5,-0.45,0.24,42.8,-40.24,-29.71,22.1,CLEAN
695.2,-0.38,0.02,42.0,-40.69,-32.01,22.5,CLEAN
703.3,-0.50,-0.15,41.3,-42.32,-33.58,22.5,CLEAN
712.6,-0.55,-0.20,40.6,-42.26,-33.60,22.5,CLEAN
720.9,-0.35,-0.17,39.9,-41.68,-34.10,22.5,CLEAN
