time_sec,gps_x,gps_y,battery_pct,left_enc,right_enc,coverage_pct,behavior
0.8,0.00,-92233720368547760.00,99.9,0.00,0.00,0.0,CLEAN
5.9,1.90,-0.84,99.5,1.34,0.30,0.0,AVOID
12.1,1.86,-1.54,99.0,2.90,1.16,0.0,CLEAN
19.7,1.62,-1.38,98.3,2.14,0.64,0.7,CLEAN
26.6,1.41,-1.11,97.8,1.01,-0.19,1.4,CLEAN
34.1,1.06,-0.78,97.2,2.75,-0.28,2.1,CLEAN
41.1,1.05,-0.62,96.6,2.84,-1.98,2.4,CLEAN
49.1,-0.31,-1.57,95.9,-0.53,-5.00,5.5,CLEAN
58.7,-0.23,-1.65,95.1,-0.72,-5.58,5.9,CLEAN
66.9,-0.36,-1.37,94.4,-0.60,-5.94,5.9,CLEAN
75.5,-0.29,-1.32,93.7,-0.60,-5.39,5.9,CLEAN
82.0,0.04,-1.40,93.2,1.93,-5.18,6.2,CLEAN
89.1,0.85,-1.71,92.6,2.99,-3.73,6.9,CLEAN
96.4,1.22,-1.20,91.9,2.22,-4.15,8.3,CLEAN
104.0,1.18,-1.33,91.3,0.34,-5.01,8.3,CLEAN
112.0,1.43,-1.69,90.7,-0.53,-4.98,8.7,CLEAN
119.9,1.07,-1.69,90.0,-1.67,-5.30,8.7,CLEAN
127.2,1.25,-1.42,89.4,-2.61,-4.30,8.7,CLEAN
136.3,1.27,-1.38,88.6,-2.52,-4.90,8.7,CLEAN
144.3,1.29,-1.16,87.9,-3.59,-4.60,8.7,CLEAN
150.8,1.26,-1.47,87.4,-4.44,-6.05,9.3,CLEAN
158.5,1.04,-1.64,86.8,-6.50,-8.75,9.3,CLEAN
167.2,1.14,-1.59,86.0,-7.50,-11.08,9.3,CLEAN
175.3,1.17,-1.60,85.3,-7.13,-10.70,9.3,CLEAN
183.6,0.98,-1.69,84.7,-8.68,-11.36,9.3,CLEAN
190.5,0.85,-1.35,84.1,-9.89,-11.33,10.0,CLEAN
199.1,0.83,-1.18,83.4,-10.30,-9.67,10.4,CLEAN
207.3,0.77,-1.11,82.7,-9.61,-10.24,10.4,CLEAN
214.7,0.14,-0.83,82.1,-13.25,-11.91,11.8,CLEAN
223.1,0.01,-0.70,81.4,-14.89,-11.02,11.8,CLEAN
231.8,0.02,-0.53,80.7,-16.91,-13.81,12.1,CLEAN
240.5,0.01,-0.62,79.9,-16.89,-13.96,12.1,CLEAN
249.1,-0.02,-0.72,79.3,-18.10,-15.36,12.1,CLEAN
257.3,-0.05,-0.74,78.5,-18.13,-15.31,12.5,CLEAN
265.5,-0.05,-0.71,77.8,-20.98,-17.01,12.5,CLEAN
273.6,-0.32,-0.64,77.2,-20.42,-17.44,13.1,CLEAN
281.6,-0.34,-0.59,76.5,-21.23,-17.71,13.1,CLEAN
290.8,-0.33,-0.55,75.8,-21.29,-18.45,13.1,CLEAN
299.2,-0.31,-0.51,75.0,-22.00,-19.05,13.1,CLEAN
307.4,-0.50,-0.37,74.3,-22.88,-20.84,13.5,CLEAN
315.8,-0.65,-0.41,73.7,-25.88,-21.40,13.8,CLEAN
324.5,-0.60,-0.21,72.9,-25.68,-22.88,14.2,CLEAN
332.1,-0.65,-0.35,72.3,-27.56,-23.69,14.2,CLEAN
341.1,-0.61,-0.14,71.6,-26.69,-24.95,14.5,CLEAN
349.7,-0.73,-0.20,70.8,-27.85,-24.93,14.5,CLEAN
358.5,-0.53,-0.23,70.1,-27.44,-26.45,14.5,CLEAN
366.5,-0.48,0.04,69.4,-29.11,-27.72,15.2,CLEAN
375.0,0.21,-0.62,68.8,-31.00,-30.24,17.0,CLEAN
384.0,0.22,-0.80,68.0,-31.79,-33.10,17.0,CLEAN
391.0,-0.01,-0.64,67.4,-32.30,-32.50,17.0,CLEAN
399.6,-0.02,-0.75,66.7,-35.42,-35.22,17.0,CLEAN
408.7,0.04,-0.88,65.9,-35.34,-35.92,17.0,CLEAN
417.3,-0.02,-0.92,65.2,-35.55,-36.69,17.0,CLEAN
426.5,0.15,-0.91,64.4,-37.74,-38.46,17.3,CLEAN
435.2,-0.12,-0.78,63.8,-39.42,-38.35,17.3,CLEAN
443.1,-0.15,-0.69,63.1,-41.68,-41.32,17.3,CLEAN
451.0,-0.20,-0.66,62.4,-43.14,-40.98,17.3,CLEAN
459.6,-0.03,-0.79,61.7,-43.14,-42.68,17.3,CLEAN
468.6,0.10,-1.02,60.9,-43.55,-43.15,17.3,CLEAN
476.2,0.06,-1.06,60.3,-43.81,-43.16,17.6,CLEAN
484.8,0.09,-1.06,59.6,-44.85,-44.17,17.6,CLEAN
492.5,0.10,-1.37,58.9,-46.37,-43.34,17.6,CLEAN
501.2,0.04,-1.41,58.2,-46.52,-42.89,17.6,CLEAN
508.8,0.02,-1.41,57.6,-44.84,-42.89,17.6,CLEAN
517.3,0.18,-1.18,56.8,-46.10,-43.15,18.3,CLEAN
526.4,0.20,-1.07,56.2,-47.29,-43.58,18.3,CLEAN
535.1,0.25,-1.05,55.4,-47.23,-43.28,18.3,CLEAN
544.1,0.28,-1.03,54.7,-47.66,-43.76,18.3,CLEAN
553.5,0.22,-1.01,53.8,-48.98,-43.85,18.3,CLEAN
562.1,-0.11,-0.99,53.2,-48.76,-45.82,18.3,CLEAN
569.6,-0.24,-1.04,52.5,-48.53,-46.62,18.3,CLEAN
578.8,-0.10,-1.11,51.7,-50.36,-47.49,18.7,CLEAN
587.3,0.09,-1.24,51.1,-50.08,-47.99,18.7,CLEAN
595.5,0.03,-1.26,50.3,-52.45,-48.44,18.7,CLEAN
604.6,-0.06,-1.22,49.6,-55.84,-51.15,18.7,CLEAN
612.5,-0.14,-1.17,48.9,-57.75,-52.67,18.7,CLEAN
621.1,-0.12,-1.32,48.3,-57.80,-54.08,18.7,CLEAN
628.9,-0.20,-1.37,47.6,-57.74,-55.29,18.7,CLEAN
637.2,-0.35,-1.28,46.9,-59.33,-55.46,18.7,CLEAN
645.9,-0.33,-1.27,46.2,-59.60,-56.33,18.7,CLEAN
654.3,-0.42,-1.32,45.5,-60.65,-57.30,18.7,CLEAN
662.5,-0.46,-1.33,44.8,-60.46,-57.46,19.0,CLEAN
671.6,-0.37,-1.37,44.0,-62.55,-58.46,19.0,CLEAN
680.2,-0.30,-1.39,43.3,-62.52,-58.43,19.0,CLEAN
688.0,0.06,-1.51,42.7,-63.10,-56.95,19.4,CLEAN
696.4,0.16,-1.38,41.9,-64.76,-59.31,19.4,CLEAN
