gps_x,gps_y,behaviour,battery_pct,time_sec
1.78,-0.78,CLEAN,98.1,14.0
1.88,-0.83,CLEAN,97.9,16.0
1.89,-0.83,CLEAN,97.6,18.0
1.83,-0.74,CLEAN,97.2,21.0
1.77,-0.82,CLEAN,96.9,23.0
1.59,-1.96,AVOID,96.1,30.0
1.53,-2.05,AVOID,95.6,33.0
1.59,-2.03,AVOID,95.3,35.0
1.61,-2.00,AVOID,95.1,38.0
1.52,-2.04,AVOID,94.7,40.0
1.54,-2.04,AVOID,94.4,42.0
1.30,-2.11,AVOID,93.9,46.0
0.10,-1.91,CLEAN,92.7,55.0
-0.27,-1.27,CLEAN,92.3,58.0
-0.37,-1.07,CLEAN,91.9,61.0
-0.14,-0.78,CLEAN,91.5,64.0
0.11,-0.49,CLEAN,91.2,66.0
-1.74,-0.53,CLEAN,90.0,75.0
-1.84,-0.53,CLEAN,89.7,77.0
-0.83,-1.38,CLEAN,88.8,84.0
1.72,-1.87,CLEAN,87.2,96.0
1.61,-1.94,AVOID,86.8,99.0
1.07,-2.08,AVOID,86.3,103.0
1.03,-2.08,AVOID,85.9,106.0
1.14,-2.01,AVOID,85.5,109.0
1.15,-2.01,AVOID,85.2,111.0
1.13,-2.04,AVOID,84.8,114.0
1.17,-2.05,AVOID,84.5,116.0
1.14,-2.10,AVOID,84.1,119.0
-1.19,-1.28,CLEAN,82.5,131.0
-1.65,-0.07,CLEAN,81.7,137.0
-1.51,0.06,CLEAN,81.5,139.0
-1.06,0.29,AVOID,81.1,142.0
-0.44,-0.14,CLEAN,80.3,148.0
-0.55,-0.41,CLEAN,79.9,151.0
-0.49,-0.50,CLEAN,79.6,153.0
0.18,-0.89,CLEAN,79.1,157.0
0.64,-1.07,CLEAN,78.7,160.0
1.11,-1.23,CLEAN,78.4,163.0
1.26,-1.00,CLEAN,77.2,171.0
0.30,-0.54,CLEAN,76.0,180.0
0.16,-0.54,CLEAN,75.5,184.0
-0.02,-0.54,CLEAN,75.2,186.0
0.08,-0.65,CLEAN,74.8,189.0
0.58,-0.66,CLEAN,74.5,191.0
0.97,-0.36,CLEAN,73.3,200.0
1.04,0.41,CLEAN,72.7,205.0
0.01,0.17,CLEAN,71.9,212.0
0.05,0.06,CLEAN,71.5,214.0
0.36,0.03,CLEAN,71.1,217.0
0.42,0.12,AVOID,70.8,219.0
0.46,0.18,AVOID,70.4,222.0
0.47,0.21,AVOID,70.1,224.0
0.50,0.16,AVOID,69.7,227.0
0.97,0.58,CLEAN,68.9,233.0
0.92,0.54,CLEAN,68.5,236.0
0.92,0.53,CLEAN,68.3,238.0
0.35,0.11,AVOID,67.5,244.0
0.38,0.12,AVOID,67.1,247.0
0.40,0.15,AVOID,66.8,249.0
0.36,-0.59,CLEAN,65.9,256.0
0.42,-0.77,CLEAN,65.6,258.0
0.23,-0.18,CLEAN,64.9,263.0
0.28,0.32,CLEAN,64.4,267.0
1.27,0.41,CLEAN,63.5,274.0
1.31,0.40,AVOID,63.2,276.0
1.33,0.39,AVOID,62.8,279.0
1.30,0.39,CLEAN,62.5,281.0
1.20,0.34,CLEAN,62.1,284.0
1.29,0.33,AVOID,61.9,286.0
1.25,0.30,CLEAN,61.5,289.0
1.34,0.29,CLEAN,61.2,292.0
1.32,0.36,AVOID,60.8,294.0
1.31,0.17,CLEAN,60.3,298.0
1.34,0.26,AVOID,60.0,300.0
1.41,0.38,AVOID,59.6,303.0
1.23,0.19,CLEAN,59.1,307.0
1.22,0.19,CLEAN,58.8,309.0
1.05,0.50,CLEAN,58.4,312.0
0.79,0.36,CLEAN,57.3,320.0
0.98,0.46,CLEAN,57.1,322.0
1.08,0.20,CLEAN,56.7,325.0
1.18,-0.10,AVOID,56.3,328.0
1.19,-0.13,AVOID,56.0,330.0
1.20,-0.17,AVOID,55.6,333.0
1.18,-0.14,AVOID,55.2,336.0
1.15,-0.15,AVOID,54.9,338.0
1.21,-0.17,AVOID,54.5,341.0
1.22,-0.18,AVOID,54.3,344.0
1.57,-0.36,CLEAN,53.5,349.0
1.97,-0.33,AVOID,52.9,353.0
1.89,-0.35,CLEAN,52.4,357.0
1.87,-0.37,AVOID,52.0,360.0
1.87,-0.35,CLEAN,51.1,367.0
1.95,-0.28,AVOID,50.7,370.0
2.06,-0.32,AVOID,50.1,374.0
2.17,-0.40,AVOID,49.7,377.0
2.05,-0.40,AVOID,49.5,379.0
1.03,-1.18,CLEAN,48.4,387.0
0.44,-1.36,CLEAN,47.9,391.0
0.33,-1.39,CLEAN,47.6,393.0
-0.71,-0.28,CLEAN,45.9,406.0
-0.51,0.44,AVOID,44.9,413.0
-0.57,0.48,AVOID,44.5,416.0
-0.54,0.42,AVOID,44.1,419.0
-0.55,0.37,CLEAN,43.6,423.0
-0.63,0.27,AVOID,43.3,425.0
-0.65,0.24,AVOID,42.9,428.0
-0.36,0.70,CLEAN,42.1,434.0
-0.28,0.72,AVOID,41.7,437.0
-0.36,1.02,AVOID,41.2,441.0
-0.41,1.36,CLEAN,40.7,446.0
-0.48,1.43,AVOID,40.1,449.0
-0.49,1.43,AVOID,39.6,453.0
-0.47,1.41,AVOID,39.2,456.0
-0.34,1.41,AVOID,38.8,459.0
-0.31,1.44,WANDER,38.4,462.0
-0.44,2.01,WANDER,37.9,466.0
-0.52,2.11,AVOID,37.5,469.0
-0.58,2.10,AVOID,37.2,471.0
-0.50,2.16,AVOID,36.7,475.0
-0.65,2.10,AVOID,36.4,477.0
-0.57,2.13,AVOID,36.0,480.0
-0.69,2.09,AVOID,35.5,484.0
-0.80,1.95,AVOID,34.5,491.0
-0.93,2.01,WANDER,34.0,495.0
-1.30,2.07,WANDER,33.7,497.0
-1.74,2.13,WANDER,33.3,500.0
-2.10,2.17,AVOID,32.9,503.0
-2.01,2.09,AVOID,32.5,506.0
-1.97,2.10,AVOID,32.1,509.0
-2.03,2.10,AVOID,31.9,511.0
-2.09,2.09,AVOID,31.3,515.0
-1.90,2.17,AVOID,30.9,518.0
-0.95,1.89,WANDER,30.1,524.0
-0.48,1.73,WANDER,29.6,528.0
-0.15,1.63,AVOID,29.3,530.0
-0.20,1.68,AVOID,28.9,533.0
-0.14,1.64,AVOID,28.5,536.0
-0.11,1.59,AVOID,28.0,540.0
-0.01,1.38,AVOID,27.6,543.0
0.19,1.31,WANDER,26.9,548.0
0.29,1.31,WANDER,26.5,551.0
0.30,1.22,AVOID,26.3,553.0
0.25,1.15,AVOID,25.9,556.0
0.22,1.12,WANDER,24.9,563.0
-0.07,0.85,WANDER,24.7,565.0
-0.45,0.75,AVOID,24.3,568.0
-0.28,0.52,WANDER,23.7,572.0
-0.37,0.62,WANDER,22.9,578.0
-1.39,-1.78,WANDER,21.3,590.0
-1.51,-2.02,AVOID,20.9,593.0
-1.45,-2.03,AVOID,20.7,596.0
-1.52,-1.97,AVOID,20.3,598.0
-1.32,-2.01,TRACK,19.7,602.0
-0.77,-1.79,TRACK,19.3,605.0
-0.41,-1.65,TRACK,19.1,607.0
0.05,-1.47,TRACK,18.7,610.0
0.49,-1.29,TRACK,18.3,613.0
0.86,-1.15,TRACK,18.0,615.0
1.24,-0.99,TRACK,17.6,618.0
1.41,-0.95,TRACK,17.3,620.0
