time_sec,gps_x,gps_y,battery_pct,left_enc,right_enc,distance_m,behaviour,sonar_0,sonar_1,sonar_2,cam_score,clean_phase,wp_index
5.0,1.79,-0.78,99.5,1.7800,-1.7000,1.115,CLEAN,1.000,1.000,1.000,0.393,NAVIGATING,0
7.0,1.75,-0.87,99.1,2.0800,-3.2900,2.168,CLEAN,1.000,0.700,0.700,0.265,NAVIGATING,0
9.0,1.78,-0.90,98.8,2.6400,-3.1900,2.782,CLEAN,0.700,0.700,0.600,0.385,NAVIGATING,1
11.0,1.80,-0.89,98.5,1.5800,-2.1400,3.457,CLEAN,1.000,1.000,1.000,0.348,NAVIGATING,1
13.0,1.92,-0.90,98.3,1.4100,-3.0200,4.064,CLEAN,1.000,1.000,1.000,0.440,NAVIGATING,1
16.0,1.90,-0.78,97.9,1.6900,-2.3900,4.826,CLEAN,1.000,1.000,1.000,0.372,NAVIGATING,2
18.0,1.82,-0.84,97.6,1.2200,-1.1200,5.549,CLEAN,0.700,1.000,1.000,0.289,NAVIGATING,2
21.0,1.86,-0.99,97.2,1.6800,0.2000,6.456,CLEAN,0.300,0.300,0.500,0.473,NAVIGATING,3
24.0,1.78,-1.12,96.8,2.9500,-0.1100,7.184,CLEAN,1.000,1.000,1.000,0.458,NAVIGATING,3
26.0,1.42,-1.13,96.5,4.6400,1.2000,8.324,CLEAN,1.000,1.000,1.000,0.324,NAVIGATING,3
28.0,1.12,-1.16,96.3,6.2600,2.6600,9.311,CLEAN,1.000,1.000,1.000,0.405,NAVIGATING,4
31.0,0.76,-1.15,95.9,7.7500,4.1700,10.272,CLEAN,1.000,1.000,1.000,0.424,NAVIGATING,4
33.0,0.28,-1.16,95.6,9.2600,5.5500,11.202,CLEAN,1.000,1.000,1.000,0.366,NAVIGATING,5
35.0,0.28,-1.15,95.3,10.3000,4.6100,11.839,CLEAN,0.200,0.300,1.000,0.372,NAVIGATING,5
38.0,0.21,-1.25,94.9,9.4800,4.3900,12.580,CLEAN,1.000,0.300,0.300,0.368,NAVIGATING,5
41.0,0.10,-1.21,94.5,9.6200,5.2000,13.309,CLEAN,1.000,1.000,1.000,0.370,NAVIGATING,6
44.0,0.14,-1.13,94.1,10.8000,4.8100,14.027,AVOID,0.200,0.200,0.300,0.368,NAVIGATING,6
46.0,0.20,-1.10,93.9,10.5300,5.4800,14.701,AVOID,1.000,0.200,0.200,0.268,NAVIGATING,6
57.0,0.14,-1.38,92.4,11.3500,6.3900,15.740,CLEAN,1.000,1.000,1.000,0.379,NAVIGATING,7
60.0,0.16,-1.32,92.0,11.5600,6.1200,16.539,CLEAN,1.000,1.000,0.400,0.371,NAVIGATING,7
62.0,0.16,-1.40,91.7,10.5300,7.0400,17.167,CLEAN,0.900,1.000,1.000,0.308,NAVIGATING,8
65.0,0.13,-1.50,91.3,10.5400,7.9100,17.834,CLEAN,0.800,0.700,0.700,0.348,NAVIGATING,8
67.0,0.01,-1.49,91.1,12.1200,7.7800,18.709,CLEAN,0.800,1.000,1.000,0.335,NAVIGATING,8
70.0,-0.15,-1.39,90.7,13.3900,7.5100,19.455,CLEAN,1.000,1.000,0.400,0.404,NAVIGATING,9
79.0,-0.75,-1.35,89.5,12.6600,8.2900,21.014,CLEAN,0.900,0.800,0.800,0.296,NAVIGATING,10
82.0,-0.71,-1.28,89.1,13.8200,7.7600,21.724,CLEAN,1.000,1.000,1.000,0.351,NAVIGATING,10
84.0,-0.74,-1.40,88.8,13.5200,7.0700,22.336,CLEAN,1.000,1.000,0.700,0.381,NAVIGATING,10
87.0,-0.63,-1.39,88.5,13.5700,7.8500,23.195,CLEAN,1.000,1.000,0.800,0.279,NAVIGATING,11
89.0,-0.70,-1.26,88.1,13.5900,9.0200,23.831,CLEAN,0.900,0.900,1.000,0.305,NAVIGATING,11
91.0,-0.98,-1.02,87.9,14.1700,10.4100,24.790,CLEAN,0.600,0.700,1.000,0.360,NAVIGATING,12
94.0,-1.18,-0.69,87.5,16.1600,12.3600,26.063,CLEAN,0.800,1.000,1.000,0.356,NAVIGATING,12
96.0,-1.47,-0.28,87.2,17.7400,13.9500,27.078,CLEAN,0.700,0.800,0.800,0.334,NAVIGATING,12
99.0,-1.49,-0.13,86.8,19.2900,13.9000,27.977,CLEAN,1.000,0.500,0.800,0.335,NAVIGATING,13
102.0,-1.29,-0.10,86.4,21.0300,14.6300,28.984,CLEAN,0.500,1.000,1.000,0.409,NAVIGATING,13
104.0,-0.89,-0.08,86.1,22.4300,16.3900,30.003,CLEAN,0.400,1.000,1.000,0.390,NAVIGATING,14
107.0,-0.41,0.04,85.7,24.4200,18.3500,31.267,CLEAN,1.000,1.000,1.000,0.364,NAVIGATING,14
109.0,0.05,0.16,85.5,25.8600,19.8600,32.212,CLEAN,1.000,1.000,1.000,0.364,NAVIGATING,15
112.0,0.05,0.16,85.1,25.1000,21.2400,33.095,CLEAN,1.000,0.800,0.800,0.316,NAVIGATING,15
114.0,-0.17,0.27,84.8,25.7900,22.9000,34.022,CLEAN,1.000,1.000,1.000,0.471,NAVIGATING,15
117.0,-0.56,0.35,84.4,27.5800,24.1500,35.011,AVOID,1.000,0.800,0.100,0.451,NAVIGATING,16
119.0,-0.59,0.28,84.1,27.6800,23.0100,35.543,AVOID,0.200,0.200,1.000,0.381,NAVIGATING,16
122.0,-0.58,0.26,83.7,27.4200,23.5900,36.026,AVOID,1.000,0.800,0.100,0.372,NAVIGATING,17
133.0,0.09,1.03,82.3,26.9200,22.4400,37.858,CLEAN,1.000,1.000,1.000,0.432,NAVIGATING,18
136.0,0.58,1.08,81.9,28.7700,24.5400,39.130,CLEAN,1.000,1.000,1.000,0.491,NAVIGATING,18
138.0,0.88,1.14,81.6,29.1300,25.8000,39.931,CLEAN,1.000,1.000,1.000,0.281,NAVIGATING,19
152.0,1.14,1.36,79.7,27.0100,27.1100,41.416,CLEAN,1.000,1.000,1.000,0.369,NAVIGATING,20
155.0,1.10,1.30,79.5,26.6300,28.3900,42.154,CLEAN,0.400,1.000,1.000,0.341,NAVIGATING,20
157.0,0.80,1.28,79.1,28.2800,29.0000,43.185,CLEAN,1.000,1.000,1.000,0.324,NAVIGATING,20
159.0,0.60,1.31,78.8,29.5300,29.3100,43.997,CLEAN,1.000,1.000,1.000,0.313,NAVIGATING,21
162.0,0.65,1.42,78.4,30.9500,28.8100,44.836,CLEAN,0.800,0.800,0.800,0.322,NAVIGATING,21
187.0,1.98,1.19,75.1,25.3400,24.4500,50.119,CLEAN,1.000,1.000,1.000,0.286,NAVIGATING,1
190.0,2.01,1.24,74.7,26.8100,23.9500,50.933,CLEAN,1.000,0.700,0.300,0.303,NAVIGATING,1
192.0,2.08,1.25,74.4,27.6900,23.4700,51.503,AVOID,0.100,0.100,0.100,0.000,NAVIGATING,1
195.0,2.05,1.29,74.0,27.6500,23.0400,52.035,AVOID,0.100,0.100,0.200,0.351,NAVIGATING,1
198.0,2.07,1.31,73.6,27.5800,22.9100,52.739,AVOID,0.100,0.100,0.100,0.000,NAVIGATING,1
200.0,2.03,1.35,73.3,27.3700,23.0000,53.164,AVOID,0.100,0.100,0.100,0.099,NAVIGATING,2
209.0,1.62,1.78,72.1,25.5000,23.5800,54.928,CLEAN,1.000,1.000,1.000,0.410,NAVIGATING,3
211.0,1.48,1.71,71.9,26.1300,25.1300,55.769,CLEAN,0.700,0.700,1.000,0.357,NAVIGATING,3
213.0,1.16,1.37,71.6,27.7600,26.6600,56.781,CLEAN,1.000,1.000,1.000,0.331,NAVIGATING,4
216.0,1.00,1.31,71.2,29.1400,28.6100,57.941,CLEAN,1.000,1.000,1.000,0.331,NAVIGATING,4
219.0,0.89,1.31,70.8,30.2700,30.4700,59.004,CLEAN,1.000,1.000,0.900,0.310,NAVIGATING,4
221.0,0.78,1.31,70.5,29.8800,31.6500,59.678,CLEAN,1.000,1.000,1.000,0.327,NAVIGATING,5
243.0,-0.68,1.42,67.6,23.6100,23.7200,65.095,CLEAN,1.000,1.000,1.000,0.323,NAVIGATING,6
246.0,-0.61,1.44,67.2,23.7700,25.1100,66.003,CLEAN,0.900,1.000,1.000,0.341,NAVIGATING,6
248.0,-0.67,1.51,66.9,24.0300,24.0300,66.642,CLEAN,1.000,1.000,1.000,0.374,NAVIGATING,6
251.0,-0.67,1.51,66.5,25.4600,23.2200,67.503,CLEAN,1.000,0.700,0.700,0.294,NAVIGATING,7
253.0,-0.64,1.45,66.3,25.5100,22.8500,67.961,AVOID,1.000,0.800,0.100,0.289,NAVIGATING,7
255.0,-0.56,1.50,66.0,25.4700,22.6100,68.556,AVOID,0.100,0.200,0.800,0.324,NAVIGATING,7
263.0,-0.40,1.17,64.9,25.9600,20.5300,70.229,CLEAN,0.600,0.600,1.000,0.402,NAVIGATING,9
266.0,-0.44,1.11,64.5,25.4100,21.8900,71.043,CLEAN,1.000,1.000,1.000,0.347,NAVIGATING,9
268.0,-0.42,1.02,64.3,25.6300,23.0100,71.712,CLEAN,1.000,1.000,1.000,0.358,NAVIGATING,9
271.0,-0.04,0.84,63.9,27.0200,24.5700,72.660,CLEAN,1.000,1.000,1.000,0.431,NAVIGATING,10
273.0,0.32,0.66,63.6,29.0500,26.5300,73.938,CLEAN,1.000,1.000,1.000,0.377,NAVIGATING,10
276.0,0.65,0.49,63.2,30.4400,27.2500,74.793,CLEAN,0.700,0.700,0.700,0.397,NAVIGATING,11
278.0,0.58,0.38,62.9,31.8800,26.7800,75.602,CLEAN,1.000,0.900,0.900,0.429,NAVIGATING,11
281.0,0.22,0.30,62.5,33.5400,28.1200,76.574,CLEAN,0.700,1.000,1.000,0.385,NAVIGATING,12
308.0,-0.98,-2.03,58.9,30.0900,24.1900,80.552,CLEAN,0.200,0.300,0.600,0.307,NAVIGATING,13
310.0,-0.93,-2.01,58.7,29.2600,24.8400,81.096,AVOID,0.200,0.200,0.200,0.248,NAVIGATING,13
312.0,-0.92,-2.00,58.4,28.9700,24.7700,81.433,AVOID,1.000,0.200,0.200,0.217,NAVIGATING,13
315.0,-0.88,-2.01,58.1,28.9300,24.6700,82.102,AVOID,0.200,0.100,0.200,0.210,NAVIGATING,13
317.0,-0.90,-2.05,57.7,29.2500,24.6200,82.791,AVOID,0.100,0.100,0.200,0.227,NAVIGATING,13
320.0,-0.90,-2.02,57.3,29.3300,24.7200,83.348,AVOID,0.100,0.100,0.200,0.281,NAVIGATING,13
330.0,-0.97,-2.16,56.0,29.5000,24.7600,84.259,AVOID,0.100,0.200,0.600,0.303,NAVIGATING,14
332.0,-0.90,-2.16,55.7,28.5700,24.4500,84.803,AVOID,0.100,0.300,0.700,0.348,NAVIGATING,14
334.0,-0.88,-2.16,55.5,27.5000,24.2000,85.483,AVOID,1.000,0.100,0.600,0.410,NAVIGATING,14
344.0,-0.61,-1.98,54.1,25.8600,24.4200,86.457,CLEAN,1.000,0.700,0.400,0.323,NAVIGATING,15
346.0,-0.60,-1.99,53.9,25.0800,25.7900,87.290,CLEAN,1.000,1.000,1.000,0.375,NAVIGATING,15
349.0,-0.62,-1.76,53.5,25.2700,27.0900,88.023,CLEAN,0.900,0.900,1.000,0.379,NAVIGATING,15
351.0,-0.85,-1.32,53.2,27.3500,28.9900,89.302,CLEAN,0.800,0.800,1.000,0.390,NAVIGATING,16
354.0,-1.01,-0.96,52.8,29.2900,31.0000,90.566,CLEAN,0.600,1.000,1.000,0.390,NAVIGATING,16
357.0,-1.18,-0.58,52.4,30.7200,32.0500,91.444,CLEAN,1.000,1.000,1.000,0.374,NAVIGATING,17
359.0,-1.18,-0.57,52.1,29.7700,33.0000,92.602,CLEAN,1.000,1.000,1.000,0.406,NAVIGATING,17
361.0,-1.32,-0.39,51.9,27.6000,33.9700,93.970,CLEAN,0.900,0.800,0.800,0.302,NAVIGATING,17
364.0,-1.32,-0.39,51.5,25.7500,35.8200,95.154,CLEAN,1.000,0.800,0.700,0.378,NAVIGATING,18
366.0,-1.34,-0.47,51.2,24.7500,36.1700,96.170,CLEAN,0.900,1.000,0.900,0.396,NAVIGATING,18
369.0,-1.28,-0.69,50.8,25.9400,35.2800,97.082,CLEAN,1.000,1.000,0.700,0.264,NAVIGATING,19
371.0,-1.47,-0.76,50.5,24.7800,36.0200,98.389,CLEAN,0.700,1.000,1.000,0.371,NAVIGATING,19
374.0,-1.47,-0.76,50.1,24.0400,36.7500,99.723,CLEAN,0.600,0.300,0.400,0.460,NAVIGATING,19
377.0,-1.37,-0.80,49.7,23.4200,36.4900,100.440,CLEAN,0.700,0.400,0.300,0.474,NAVIGATING,20
379.0,-1.44,-0.89,49.5,24.2000,36.7200,101.253,CLEAN,0.400,0.200,0.300,0.347,NAVIGATING,20
382.0,-1.56,-0.79,49.1,25.8100,36.5700,102.079,CLEAN,0.600,0.700,1.000,0.346,NAVIGATING,21
385.0,-1.36,-0.61,48.7,27.7500,37.6100,103.215,CLEAN,0.900,1.000,1.000,0.466,NAVIGATING,21
387.0,-0.94,-0.33,48.4,29.2700,39.2600,104.231,CLEAN,0.600,0.600,1.000,0.385,WAITING_GPS,0
390.0,-0.85,-0.25,48.0,30.5300,38.8800,105.004,CLEAN,1.000,1.000,0.600,0.357,NAVIGATING,0
392.0,-0.81,-0.39,47.7,31.6600,38.8900,105.691,CLEAN,0.500,0.600,1.000,0.306,NAVIGATING,0
412.0,1.41,-1.95,45.1,25.1000,34.3000,110.534,CLEAN,1.000,0.900,0.800,0.385,NAVIGATING,2
415.0,1.52,-1.83,44.7,25.5200,35.7800,111.482,CLEAN,1.000,1.000,1.000,0.264,NAVIGATING,2
417.0,1.71,-1.64,44.4,26.1800,36.7600,112.121,CLEAN,1.000,1.000,0.700,0.441,NAVIGATING,3
420.0,1.66,-1.60,44.0,25.6000,37.9600,112.835,CLEAN,0.700,1.000,1.000,0.419,NAVIGATING,3
423.0,1.71,-1.57,43.6,24.5100,38.5300,113.675,CLEAN,0.600,0.600,0.600,0.340,NAVIGATING,3
425.0,1.86,-1.75,43.3,23.8700,39.1100,114.304,CLEAN,0.400,0.300,0.300,0.338,NAVIGATING,4
428.0,1.88,-1.67,42.9,21.8000,40.0000,115.642,CLEAN,1.000,1.000,1.000,0.316,NAVIGATING,4
430.0,1.87,-1.59,42.7,22.1000,39.2300,116.687,CLEAN,0.400,1.000,0.400,0.350,NAVIGATING,5
433.0,1.91,-1.59,42.3,21.9000,39.8000,117.367,CLEAN,0.400,0.300,0.300,0.385,NAVIGATING,5
435.0,1.83,-1.57,42.0,22.4800,39.2400,118.125,CLEAN,0.500,0.500,0.600,0.268,NAVIGATING,6
438.0,1.85,-1.69,41.6,23.8000,38.3300,118.930,CLEAN,0.500,0.600,1.000,0.293,NAVIGATING,6
441.0,1.76,-1.61,41.2,24.9000,38.1300,119.579,CLEAN,1.000,1.000,1.000,0.313,NAVIGATING,6
443.0,1.76,-1.48,40.9,25.1200,39.5100,120.459,CLEAN,0.800,1.000,1.000,0.344,NAVIGATING,7
