time_sec,gps_x,gps_y,battery_pct,left_enc,right_enc,coverage_pct,behavior
7.5,1.83,-0.73,98.9,-0.59,1.22,0.3,CLEAN
12.4,1.79,-0.53,98.5,0.02,2.50,0.6,CLEAN
16.3,1.67,-0.37,98.2,0.56,3.30,1.1,CLEAN
21.6,1.38,-0.16,97.7,1.94,5.07,1.7,CLEAN
27.3,1.02,-0.03,97.3,3.33,6.76,2.5,CLEAN
33.9,0.49,-0.04,96.7,5.19,8.71,3.3,CLEAN
40.7,0.04,-0.45,96.1,7.53,10.79,4.7,CLEAN
47.4,-0.51,-0.67,95.6,7.34,11.57,5.8,CLEAN
54.4,-0.23,-0.33,95.0,9.64,11.02,6.4,CLEAN
60.7,-0.19,-0.07,94.4,10.20,10.29,7.2,CLEAN
67.0,-0.28,0.08,93.9,9.36,10.22,8.0,CLEAN
73.9,0.00,0.07,93.3,7.39,10.11,8.3,CLEAN
81.3,-0.12,0.09,92.8,5.59,8.57,8.3,CLEAN
88.8,0.03,0.17,92.1,7.02,6.56,8.9,CLEAN
94.9,0.13,-0.27,91.6,9.70,7.99,9.1,CLEAN
102.1,-0.65,-0.86,91.0,11.23,8.88,9.4,CLEAN
108.8,-1.74,-0.90,90.4,12.23,9.29,10.8,CLEAN
116.0,-1.62,-0.66,89.8,11.18,7.83,11.6,CLEAN
122.5,-1.33,-0.99,89.3,12.53,7.43,11.6,CLEAN
129.1,-1.66,-0.80,88.8,12.84,7.62,11.9,CLEAN
136.8,-1.85,-0.88,88.1,10.57,6.36,11.9,CLEAN
143.6,-1.40,-1.00,87.5,12.20,9.02,11.9,CLEAN
150.5,-1.11,-0.41,86.9,11.54,10.01,13.3,CLEAN
158.4,-0.84,-0.21,86.3,10.72,10.17,14.1,CLEAN
165.8,-0.38,-0.26,85.7,12.41,10.62,14.4,CLEAN
173.6,-0.72,-0.34,85.0,10.60,10.15,15.0,CLEAN
180.1,-1.23,-0.48,84.5,12.09,12.09,15.2,CLEAN
186.0,-0.82,-0.86,84.0,13.54,13.96,15.2,CLEAN
193.3,-0.70,-0.90,83.4,13.79,14.79,15.5,CLEAN
200.5,-0.71,-1.12,82.8,12.03,13.64,16.1,CLEAN
208.0,-0.37,-1.14,82.2,12.74,11.60,16.9,CLEAN
215.1,-0.40,-0.97,81.6,12.38,11.46,17.7,CLEAN
222.6,-0.18,-0.52,80.9,12.92,10.45,18.3,CLEAN
230.2,-0.22,-0.81,80.3,9.82,8.63,18.3,CLEAN
237.2,-0.27,-0.55,79.8,9.24,7.08,18.3,CLEAN
244.3,-0.78,-0.85,79.2,10.62,5.53,18.3,CLEAN
252.0,-0.81,-0.97,78.5,8.96,4.98,18.3,CLEAN
260.2,-0.54,-1.04,77.8,10.98,5.44,18.6,CLEAN
266.8,-0.13,-1.12,77.3,12.45,7.34,18.6,CLEAN
272.9,0.37,-0.97,76.8,14.16,9.59,19.4,CLEAN
278.8,0.76,-0.55,76.3,15.46,10.16,20.5,CLEAN
285.2,1.22,-0.47,75.8,16.41,11.34,21.3,CLEAN
292.4,1.09,-0.72,75.2,15.70,10.80,21.9,CLEAN
298.6,1.61,-0.75,74.6,18.05,12.76,22.4,CLEAN
304.7,1.92,-0.61,74.1,18.92,14.71,22.4,CLEAN
311.0,1.93,-0.31,73.6,19.57,16.69,22.7,CLEAN
317.6,1.58,-0.08,73.0,20.53,18.23,23.3,CLEAN
323.9,1.12,-0.41,72.5,22.74,20.39,23.5,CLEAN
330.7,0.58,-0.34,71.9,24.76,22.34,23.8,CLEAN
336.5,0.23,-0.19,71.4,26.08,24.09,24.1,CLEAN
342.9,-0.19,-0.20,70.9,27.51,25.81,24.4,CLEAN
349.6,-0.75,-0.19,70.4,29.11,27.75,24.4,CLEAN
355.7,-1.12,-0.09,69.8,30.53,29.71,24.7,CLEAN
362.3,-1.50,-0.19,69.3,32.02,31.45,25.2,CLEAN
369.4,-1.72,-0.26,68.8,33.48,31.46,25.5,CLEAN
376.3,-1.51,-0.19,68.2,35.72,31.79,26.3,CLEAN
382.5,-1.41,-0.17,67.7,35.20,32.28,26.9,CLEAN
388.8,-1.01,0.22,67.1,38.25,34.21,28.0,CLEAN
395.3,-0.64,0.21,66.6,40.21,35.26,28.5,CLEAN
402.4,0.14,-0.02,66.0,42.36,37.99,28.5,CLEAN
408.5,0.93,-0.05,65.4,43.47,39.14,28.8,CLEAN
416.6,1.75,0.01,64.8,44.19,37.60,29.6,CLEAN
422.7,1.68,0.43,64.3,45.24,37.23,30.5,CLEAN
431.4,1.68,0.36,63.6,43.71,35.62,30.5,CLEAN
438.9,1.61,0.76,62.9,44.28,34.45,31.3,CLEAN
447.1,1.70,0.66,62.2,40.90,31.35,31.6,CLEAN
454.4,1.43,0.78,61.7,42.15,32.28,32.4,CLEAN
461.4,1.35,0.33,61.1,43.55,34.05,32.7,CLEAN
469.0,0.89,0.44,60.4,45.54,35.36,33.8,CLEAN
475.2,0.55,0.49,59.9,46.67,37.18,34.3,CLEAN
482.3,0.20,0.42,59.3,48.04,38.62,34.6,CLEAN
487.7,-0.36,0.31,58.8,49.74,40.25,35.2,CLEAN
496.0,-1.02,0.25,58.2,52.06,42.46,35.2,CLEAN
503.4,-1.77,0.44,57.6,53.85,43.53,36.3,CLEAN
510.9,-1.31,0.52,56.9,55.27,44.91,36.6,CLEAN
517.4,-1.06,0.06,56.4,56.60,46.21,36.8,CLEAN
