time_sec,gps_x,gps_y,battery_pct,left_enc,right_enc,distance_m,behaviour,sonar_0,sonar_1,sonar_2,cam_score,clean_phase,wp_index
14.0,1.78,-0.78,98.1,-0.4100,0.4600,0.939,CLEAN,1.000,1.000,1.000,0.356,NAVIGATING,0
16.0,1.88,-0.83,97.9,-0.5300,-0.3700,1.619,CLEAN,1.000,1.000,1.000,0.367,NAVIGATING,0
18.0,1.89,-0.83,97.6,0.0500,-0.9700,2.195,CLEAN,1.000,1.000,0.600,0.304,NAVIGATING,1
21.0,1.83,-0.74,97.2,-0.5300,0.4300,3.017,CLEAN,1.000,1.000,1.000,0.284,NAVIGATING,1
23.0,1.77,-0.82,96.9,-0.8500,1.6400,3.731,CLEAN,0.500,0.800,1.000,0.343,NAVIGATING,1
30.0,1.59,-1.96,96.1,-1.4700,1.1300,5.107,AVOID,0.200,0.300,0.200,0.249,NAVIGATING,4
33.0,1.53,-2.05,95.6,-1.1200,1.1900,5.986,AVOID,0.100,0.100,0.200,0.403,NAVIGATING,20
35.0,1.59,-2.03,95.3,-1.2200,1.1900,6.461,AVOID,0.100,0.100,1.000,0.329,NAVIGATING,20
38.0,1.61,-2.00,95.1,-1.4200,1.1000,6.809,AVOID,0.200,0.200,0.200,0.252,NAVIGATING,20
40.0,1.52,-2.04,94.7,-1.0500,1.2100,7.456,AVOID,0.100,0.100,0.200,0.339,NAVIGATING,20
42.0,1.54,-2.04,94.4,-1.1500,1.1700,7.880,AVOID,0.100,0.100,0.200,0.237,NAVIGATING,20
46.0,1.30,-2.11,93.9,-0.7300,0.0000,9.157,AVOID,0.100,0.100,0.300,0.342,NAVIGATING,20
55.0,0.10,-1.91,92.7,-2.9200,-3.5700,11.991,CLEAN,0.500,1.000,1.000,0.353,NAVIGATING,20
58.0,-0.27,-1.27,92.3,-4.2800,-3.4400,13.691,CLEAN,1.000,1.000,1.000,0.409,NAVIGATING,20
61.0,-0.37,-1.07,91.9,-3.0300,-3.1500,14.466,CLEAN,1.000,1.000,1.000,0.394,NAVIGATING,21
64.0,-0.14,-0.78,91.5,-1.2100,-1.7100,15.649,CLEAN,1.000,1.000,0.600,0.440,NAVIGATING,21
66.0,0.11,-0.49,91.2,-0.5300,-0.2800,16.511,CLEAN,1.000,1.000,1.000,0.346,NAVIGATING,0
75.0,-1.74,-0.53,90.0,-4.8400,-2.4900,19.559,CLEAN,0.400,0.500,0.400,0.318,NAVIGATING,1
77.0,-1.84,-0.53,89.7,-5.8700,-1.4600,20.218,CLEAN,1.000,1.000,0.400,0.441,NAVIGATING,1
84.0,-0.83,-1.38,88.8,-7.5100,-2.0300,22.036,CLEAN,1.000,1.000,1.000,0.289,NAVIGATING,2
96.0,1.72,-1.87,87.2,-11.4500,-5.4800,25.380,CLEAN,0.500,0.300,0.300,0.246,NAVIGATING,3
99.0,1.61,-1.94,86.8,-10.1400,-5.6800,26.107,AVOID,0.200,0.200,0.400,0.379,NAVIGATING,20
103.0,1.07,-2.08,86.3,-9.3700,-5.5600,27.634,AVOID,1.000,0.100,0.100,0.220,NAVIGATING,20
106.0,1.03,-2.08,85.9,-10.4400,-6.2300,28.394,AVOID,0.100,0.100,0.100,0.219,NAVIGATING,20
109.0,1.14,-2.01,85.5,-10.8000,-6.3400,29.025,AVOID,0.100,0.100,0.100,0.204,NAVIGATING,20
111.0,1.15,-2.01,85.2,-10.7400,-6.6900,29.421,AVOID,0.100,0.100,0.200,0.239,NAVIGATING,20
114.0,1.13,-2.04,84.8,-10.6700,-6.9400,30.093,AVOID,0.100,0.100,0.200,0.206,NAVIGATING,20
116.0,1.17,-2.05,84.5,-10.5900,-6.4700,30.662,AVOID,1.000,0.100,0.100,0.204,NAVIGATING,20
119.0,1.14,-2.10,84.1,-10.2700,-7.8200,31.492,AVOID,0.100,0.100,0.300,0.421,NAVIGATING,20
131.0,-1.19,-1.28,82.5,-15.6900,-12.6100,35.603,CLEAN,0.400,0.400,0.400,0.299,NAVIGATING,20
137.0,-1.65,-0.07,81.7,-16.1900,-13.7600,37.527,CLEAN,0.600,0.700,0.400,0.437,NAVIGATING,21
139.0,-1.51,0.06,81.5,-15.2900,-14.1300,38.565,CLEAN,0.300,0.800,0.600,0.380,NAVIGATING,21
142.0,-1.06,0.29,81.1,-13.7100,-12.7200,39.524,AVOID,0.400,0.100,0.100,0.384,NAVIGATING,21
148.0,-0.44,-0.14,80.3,-13.7100,-14.3300,41.084,CLEAN,0.700,0.700,1.000,0.310,NAVIGATING,0
151.0,-0.55,-0.41,79.9,-12.8900,-14.6600,42.249,CLEAN,1.000,1.000,1.000,0.275,NAVIGATING,1
153.0,-0.49,-0.50,79.6,-13.0200,-13.1100,43.120,CLEAN,0.800,0.800,1.000,0.340,NAVIGATING,1
157.0,0.18,-0.89,79.1,-11.8500,-11.8800,44.427,CLEAN,0.800,1.000,1.000,0.330,NAVIGATING,2
160.0,0.64,-1.07,78.7,-9.9300,-9.8600,45.689,CLEAN,1.000,1.000,1.000,0.396,NAVIGATING,2
163.0,1.11,-1.23,78.4,-8.3100,-8.3000,46.707,CLEAN,1.000,1.000,1.000,0.329,NAVIGATING,2
171.0,1.26,-1.00,77.2,-8.7300,-7.5300,48.418,CLEAN,0.800,0.700,0.700,0.347,NAVIGATING,4
180.0,0.30,-0.54,76.0,-9.4600,-9.9800,50.245,CLEAN,1.000,1.000,1.000,0.345,NAVIGATING,5
184.0,0.16,-0.54,75.5,-11.0200,-9.9900,51.629,CLEAN,1.000,1.000,1.000,0.376,NAVIGATING,5
186.0,-0.02,-0.54,75.2,-12.0400,-8.9700,52.281,CLEAN,1.000,1.000,1.000,0.381,NAVIGATING,6
189.0,0.08,-0.65,74.8,-12.0000,-7.6000,53.012,CLEAN,0.400,0.600,1.000,0.347,NAVIGATING,6
191.0,0.58,-0.66,74.5,-10.0600,-5.5700,54.293,CLEAN,0.400,1.000,1.000,0.442,NAVIGATING,7
200.0,0.97,-0.36,73.3,-10.8100,-5.3500,56.048,CLEAN,1.000,0.900,0.400,0.336,NAVIGATING,8
205.0,1.04,0.41,72.7,-13.6600,-6.4200,57.783,CLEAN,1.000,1.000,0.400,0.328,NAVIGATING,8
212.0,0.01,0.17,71.9,-15.6300,-6.9400,59.644,CLEAN,0.400,1.000,1.000,0.255,NAVIGATING,9
214.0,0.05,0.06,71.5,-15.9500,-5.5300,60.405,CLEAN,0.800,1.000,0.300,0.402,NAVIGATING,10
217.0,0.36,0.03,71.1,-14.3600,-3.6200,61.546,CLEAN,1.000,0.900,0.200,0.388,NAVIGATING,10
219.0,0.42,0.12,70.8,-13.8400,-4.5900,62.274,AVOID,0.100,0.100,0.100,0.341,NAVIGATING,20
222.0,0.46,0.18,70.4,-14.1000,-4.6100,62.682,AVOID,0.200,0.200,1.000,0.364,NAVIGATING,20
224.0,0.47,0.21,70.1,-14.0600,-4.2100,63.331,AVOID,0.200,0.200,1.000,0.328,NAVIGATING,20
227.0,0.50,0.16,69.7,-14.4000,-4.6200,63.950,AVOID,0.200,0.100,0.100,0.300,NAVIGATING,20
233.0,0.97,0.58,68.9,-11.7000,-2.5000,65.930,CLEAN,1.000,0.600,0.700,0.378,NAVIGATING,21
236.0,0.92,0.54,68.5,-10.3000,-2.8000,66.809,CLEAN,1.000,1.000,0.400,0.422,NAVIGATING,21
238.0,0.92,0.53,68.3,-11.1200,-2.0300,67.331,CLEAN,1.000,0.600,1.000,0.426,NAVIGATING,0
244.0,0.35,0.11,67.5,-12.7100,-3.5800,68.850,AVOID,0.200,0.100,0.100,0.334,NAVIGATING,20
247.0,0.38,0.12,67.1,-12.7700,-3.6800,69.491,AVOID,0.200,0.100,0.100,0.353,NAVIGATING,20
249.0,0.40,0.15,66.8,-13.0600,-3.9500,70.038,AVOID,0.200,0.100,0.100,0.347,NAVIGATING,20
256.0,0.36,-0.59,65.9,-14.2700,-6.4200,71.830,CLEAN,1.000,1.000,1.000,0.396,NAVIGATING,21
258.0,0.42,-0.77,65.6,-14.9900,-5.3000,72.692,CLEAN,0.500,0.600,1.000,0.380,NAVIGATING,0
263.0,0.23,-0.18,64.9,-17.0700,-5.5600,73.950,CLEAN,1.000,1.000,0.900,0.403,NAVIGATING,0
267.0,0.28,0.32,64.4,-16.8600,-6.4100,74.985,CLEAN,0.800,1.000,0.400,0.537,NAVIGATING,1
274.0,1.27,0.41,63.5,-17.2800,-7.3000,76.806,CLEAN,0.300,0.500,0.200,0.253,NAVIGATING,2
276.0,1.31,0.40,63.2,-17.0000,-7.5000,77.275,AVOID,0.200,0.200,0.200,0.380,NAVIGATING,20
279.0,1.33,0.39,62.8,-16.5600,-7.5100,77.880,AVOID,0.200,0.100,1.000,0.280,NAVIGATING,20
281.0,1.30,0.39,62.5,-16.1500,-7.7700,78.580,CLEAN,0.200,1.000,0.500,0.330,NAVIGATING,20
284.0,1.20,0.34,62.1,-16.1200,-8.0000,79.238,CLEAN,1.000,0.400,0.500,0.326,NAVIGATING,20
286.0,1.29,0.33,61.9,-16.7900,-7.2800,79.773,AVOID,0.200,0.100,0.200,0.393,NAVIGATING,21
289.0,1.25,0.30,61.5,-16.0400,-7.8400,80.379,CLEAN,0.200,1.000,0.400,0.388,NAVIGATING,21
292.0,1.34,0.29,61.2,-16.4700,-7.7600,81.169,CLEAN,1.000,0.200,1.000,0.359,NAVIGATING,21
294.0,1.32,0.36,60.8,-17.1000,-7.8200,81.692,AVOID,0.200,0.100,1.000,0.308,NAVIGATING,21
298.0,1.31,0.17,60.3,-17.0200,-8.9900,82.737,CLEAN,1.000,1.000,1.000,0.306,NAVIGATING,20
300.0,1.34,0.26,60.0,-17.2100,-9.9200,83.330,AVOID,0.100,1.000,1.000,0.374,NAVIGATING,20
303.0,1.41,0.38,59.6,-18.0200,-10.2200,83.768,AVOID,0.200,0.100,0.100,0.315,NAVIGATING,20
307.0,1.23,0.19,59.1,-16.7500,-10.2600,84.740,CLEAN,0.200,1.000,1.000,0.373,NAVIGATING,21
309.0,1.22,0.19,58.8,-15.7100,-11.3100,85.416,CLEAN,0.300,0.500,1.000,0.362,NAVIGATING,21
312.0,1.05,0.50,58.4,-14.7000,-10.5500,86.635,CLEAN,0.500,1.000,1.000,0.370,NAVIGATING,0
320.0,0.79,0.36,57.3,-12.0400,-10.7500,88.689,CLEAN,0.400,0.400,0.700,0.292,NAVIGATING,1
322.0,0.98,0.46,57.1,-10.6100,-10.4800,89.606,CLEAN,0.500,0.400,0.600,0.399,NAVIGATING,1
325.0,1.08,0.20,56.7,-8.9900,-9.7900,90.449,CLEAN,0.200,0.300,1.000,0.304,NAVIGATING,1
