time_sec,gps_x,gps_y,battery_pct,left_enc,right_enc,coverage_pct,behavior
7.6,1.81,-0.73,99.0,-0.63,1.31,0.3,CLEAN
13.8,1.68,-0.41,98.5,0.50,3.18,1.1,CLEAN
20.0,1.24,-0.16,98.0,1.84,4.82,1.9,CLEAN
26.9,0.82,-0.31,97.4,3.78,6.74,2.8,CLEAN
33.8,0.44,-0.42,96.8,5.40,8.27,3.3,CLEAN
40.4,0.05,-0.49,96.3,7.01,9.81,4.2,CLEAN
47.5,-0.38,-0.55,95.7,8.75,11.50,4.7,CLEAN
53.8,-0.79,-0.60,95.2,10.41,13.14,5.3,CLEAN
61.4,-1.23,-0.63,94.5,12.17,14.86,5.8,CLEAN
68.1,-1.64,-0.65,94.0,13.55,16.36,6.6,CLEAN
74.5,-1.64,-0.71,93.4,12.94,17.51,6.6,CLEAN
80.1,-1.45,-0.98,93.0,13.92,19.55,6.9,CLEAN
87.2,-1.12,-1.03,92.4,14.83,21.32,7.5,CLEAN
93.7,-0.84,-0.76,91.8,16.00,23.15,8.3,CLEAN
99.6,-0.67,-0.65,91.3,17.40,23.71,8.3,CLEAN
105.2,-0.30,-0.58,90.9,19.03,25.08,8.3,CLEAN
111.8,0.16,-0.60,90.3,20.92,26.86,8.3,CLEAN
118.1,0.59,-0.62,89.8,22.63,28.58,8.9,CLEAN
125.4,0.96,-0.64,89.2,24.07,30.05,9.4,CLEAN
131.3,1.41,-0.65,88.8,25.71,31.70,10.2,CLEAN
137.8,1.76,-0.61,88.2,26.86,33.44,10.5,CLEAN
144.3,1.82,-0.36,87.7,27.16,35.28,10.8,CLEAN
151.1,1.56,-0.11,87.1,28.17,37.53,11.1,CLEAN
157.6,1.16,-0.14,86.5,29.60,39.36,11.1,CLEAN
163.7,0.78,-0.22,86.0,31.20,40.93,11.4,CLEAN
170.0,0.36,-0.30,85.5,32.97,42.58,11.6,CLEAN
177.1,-0.08,-0.34,84.9,34.77,44.31,12.2,CLEAN
184.1,-0.48,-0.35,84.3,36.36,45.87,12.7,CLEAN
191.8,-0.92,-0.35,83.7,38.14,47.62,13.3,CLEAN
197.9,-1.33,-0.36,83.2,39.74,49.22,13.9,CLEAN
204.2,-1.71,-0.34,82.7,41.50,50.50,14.4,CLEAN
211.3,-1.87,-0.15,82.1,43.07,50.99,14.4,AVOID
218.4,-1.62,0.12,81.4,45.18,51.87,15.2,CLEAN
225.0,-1.02,0.20,80.9,47.28,52.04,16.6,CLEAN
231.2,-1.25,0.40,80.4,47.63,54.40,17.2,CLEAN
238.0,-1.56,-0.10,79.8,48.65,56.40,17.7,CLEAN
245.0,-1.20,-0.04,79.3,50.01,58.25,17.7,CLEAN
250.9,-0.76,0.02,78.8,51.87,59.90,18.3,CLEAN
257.2,-0.28,0.01,78.3,53.86,61.81,18.8,CLEAN
263.5,0.78,0.08,77.7,55.25,62.92,20.5,CLEAN
270.8,1.43,-0.22,77.1,56.70,64.39,21.6,CLEAN
