time_sec,distance_m,battery_pct,behaviour
0.0,0.000,99.9,CLEAN
0.0,0.000,99.9,CLEAN
1.0,0.000,99.8,CLEAN
3.0,0.721,99.6,CLEAN
5.0,1.419,99.3,CLEAN
7.0,2.171,99.0,CLEAN
9.0,3.130,98.7,CLEAN
12.0,4.162,98.4,CLEAN
15.0,5.271,98.0,AVOID
17.0,5.629,97.7,AVOID
19.0,6.025,97.5,AVOID
21.0,6.512,97.1,AVOID
23.0,6.969,96.9,AVOID
25.0,7.694,96.5,CLEAN
28.0,8.429,96.2,AVOID
31.0,8.826,95.8,AVOID
33.0,9.423,95.5,AVOID
36.0,9.831,95.1,AVOID
38.0,10.583,94.8,CLEAN
41.0,11.231,94.5,AVOID
43.0,12.198,94.2,AVOID
46.0,13.205,93.8,CLEAN
48.0,14.072,93.5,CLEAN
50.0,14.908,93.2,CLEAN
52.0,15.677,93.1,CLEAN
53.0,16.405,92.8,CLEAN
56.0,17.602,92.5,CLEAN
58.0,18.643,92.2,CLEAN
61.0,19.364,91.9,CLEAN
63.0,20.290,91.5,CLEAN
66.0,21.499,91.1,CLEAN
68.0,22.111,90.9,AVOID
70.0,22.506,90.6,AVOID
72.0,22.937,90.3,AVOID
75.0,23.720,90.0,CLEAN
78.0,24.129,89.6,CLEAN
80.0,24.420,89.3,CLEAN
82.0,24.842,88.9,CLEAN
85.0,25.181,88.6,CLEAN
87.0,25.872,88.3,CLEAN
90.0,26.706,88.0,CLEAN
93.0,27.703,87.6,CLEAN
95.0,28.414,87.2,CLEAN
98.0,29.136,86.9,AVOID
100.0,30.079,86.6,AVOID
103.0,31.005,86.3,AVOID
105.0,32.084,85.9,AVOID
108.0,32.939,85.5,AVOID
111.0,34.251,85.1,CLEAN
114.0,35.563,84.8,CLEAN
116.0,36.688,84.4,AVOID
119.0,37.683,84.0,AVOID
122.0,38.496,83.7,AVOID
124.0,39.466,83.4,AVOID
126.0,40.111,83.1,AVOID
129.0,40.972,82.8,AVOID
131.0,41.691,82.5,AVOID
134.0,42.315,82.1,AVOID
136.0,43.080,81.8,CLEAN
139.0,43.508,81.4,CLEAN
142.0,43.918,81.0,CLEAN
145.0,44.662,80.6,AVOID
186.0,45.486,75.1,CLEAN
231.0,45.486,69.1,CLEAN
251.0,45.486,66.4,CLEAN
291.0,45.486,61.7,CLEAN
312.0,45.486,58.4,CLEAN
342.0,45.486,55.1,CLEAN
372.0,45.486,50.4,CLEAN
372.0,45.486,50.3,CLEAN
393.0,45.486,47.6,CLEAN
438.0,45.486,41.6,CLEAN
478.0,45.486,36.2,WANDER
478.0,45.486,36.2,WANDER
493.0,45.486,34.2,WANDER
513.0,45.486,31.5,WANDER
543.0,45.486,27.5,WANDER
543.0,45.486,27.5,WANDER
563.0,45.486,24.8,WANDER
563.0,45.486,24.8,WANDER
588.0,45.486,21.5,WANDER
627.0,45.486,16.4,TRACK
678.0,45.486,9.6,TRACK
681.0,45.486,9.1,TRACK
684.0,45.486,8.8,TRACK
687.0,45.486,8.3,TRACK
696.0,45.486,7.2,TRACK
699.0,45.486,6.7,TRACK
701.0,45.486,6.5,TRACK
702.0,45.486,6.3,TRACK
708.0,45.486,5.6,TRACK
721.0,45.486,3.8,TRACK
735.0,45.486,1.9,TRACK
744.0,45.486,0.8,TRACK
