time_sec,distance_m,battery_pct,behaviour
336.0,93.303,55.2,AVOID
338.0,93.916,54.9,AVOID
341.0,94.540,54.5,AVOID
344.0,94.960,54.3,AVOID
349.0,96.773,53.5,CLEAN
353.0,97.608,52.9,AVOID
357.0,98.426,52.4,CLEAN
360.0,99.092,52.0,AVOID
367.0,100.528,51.1,CLEAN
370.0,101.603,50.7,AVOID
374.0,102.532,50.1,AVOID
377.0,103.372,49.7,AVOID
379.0,103.863,49.5,AVOID
387.0,105.428,48.4,CLEAN
391.0,107.214,47.9,CLEAN
393.0,107.874,47.6,CLEAN
406.0,110.476,45.9,CLEAN
413.0,111.490,44.9,AVOID
416.0,112.173,44.5,AVOID
419.0,112.761,44.1,AVOID
423.0,113.623,43.6,CLEAN
425.0,114.315,43.3,AVOID
428.0,114.948,42.9,AVOID
434.0,116.452,42.1,CLEAN
437.0,117.176,41.7,AVOID
441.0,118.573,41.2,AVOID
446.0,119.751,40.7,CLEAN
449.0,120.751,40.1,AVOID
453.0,121.722,39.6,AVOID
456.0,122.384,39.2,AVOID
459.0,122.982,38.8,AVOID
462.0,123.865,38.4,WANDER
466.0,125.372,37.9,WANDER
469.0,126.160,37.5,AVOID
471.0,126.853,37.2,AVOID
475.0,127.832,36.7,AVOID
477.0,128.531,36.4,AVOID
480.0,129.229,36.0,AVOID
484.0,130.027,35.5,AVOID
491.0,131.695,34.5,AVOID
495.0,132.736,34.0,WANDER
497.0,133.712,33.7,WANDER
500.0,134.851,33.3,WANDER
503.0,135.510,32.9,AVOID
506.0,136.271,32.5,AVOID
509.0,137.006,32.1,AVOID
511.0,137.604,31.9,AVOID
515.0,138.479,31.3,AVOID
518.0,139.518,30.9,AVOID
524.0,141.301,30.1,WANDER
528.0,142.823,29.6,WANDER
530.0,143.733,29.3,AVOID
533.0,144.188,28.9,AVOID
536.0,144.958,28.5,AVOID
540.0,145.999,28.0,AVOID
543.0,147.176,27.6,AVOID
548.0,148.243,26.9,WANDER
551.0,149.216,26.5,WANDER
553.0,149.880,26.3,AVOID
556.0,150.441,25.9,AVOID
563.0,152.283,24.9,WANDER
565.0,153.295,24.7,WANDER
568.0,154.288,24.3,AVOID
572.0,155.624,23.7,WANDER
578.0,157.045,22.9,WANDER
590.0,161.258,21.3,WANDER
593.0,162.231,20.9,AVOID
596.0,162.804,20.7,AVOID
598.0,163.533,20.3,AVOID
602.0,164.896,19.7,TRACK
605.0,166.156,19.3,TRACK
607.0,167.388,19.1,TRACK
610.0,168.639,18.7,TRACK
613.0,169.615,18.3,TRACK
615.0,170.837,18.0,TRACK
618.0,171.750,17.6,TRACK
620.0,172.267,17.3,TRACK
