time_sec,distance_m,battery_pct,behaviour
14.0,0.939,98.1,CLEAN
16.0,1.619,97.9,CLEAN
18.0,2.195,97.6,CLEAN
21.0,3.017,97.2,CLEAN
23.0,3.731,96.9,CLEAN
30.0,5.107,96.1,AVOID
33.0,5.986,95.6,AVOID
35.0,6.461,95.3,AVOID
38.0,6.809,95.1,AVOID
40.0,7.456,94.7,AVOID
42.0,7.880,94.4,AVOID
46.0,9.157,93.9,AVOID
55.0,11.991,92.7,CLEAN
58.0,13.691,92.3,CLEAN
61.0,14.466,91.9,CLEAN
64.0,15.649,91.5,CLEAN
66.0,16.511,91.2,CLEAN
75.0,19.559,90.0,CLEAN
77.0,20.218,89.7,CLEAN
84.0,22.036,88.8,CLEAN
96.0,25.380,87.2,CLEAN
99.0,26.107,86.8,AVOID
103.0,27.634,86.3,AVOID
106.0,28.394,85.9,AVOID
109.0,29.025,85.5,AVOID
111.0,29.421,85.2,AVOID
114.0,30.093,84.8,AVOID
116.0,30.662,84.5,AVOID
119.0,31.492,84.1,AVOID
131.0,35.603,82.5,CLEAN
137.0,37.527,81.7,CLEAN
139.0,38.565,81.5,CLEAN
142.0,39.524,81.1,AVOID
148.0,41.084,80.3,CLEAN
151.0,42.249,79.9,CLEAN
153.0,43.120,79.6,CLEAN
157.0,44.427,79.1,CLEAN
160.0,45.689,78.7,CLEAN
163.0,46.707,78.4,CLEAN
171.0,48.418,77.2,CLEAN
180.0,50.245,76.0,CLEAN
184.0,51.629,75.5,CLEAN
186.0,52.281,75.2,CLEAN
189.0,53.012,74.8,CLEAN
191.0,54.293,74.5,CLEAN
200.0,56.048,73.3,CLEAN
205.0,57.783,72.7,CLEAN
212.0,59.644,71.9,CLEAN
214.0,60.405,71.5,CLEAN
217.0,61.546,71.1,CLEAN
219.0,62.274,70.8,AVOID
222.0,62.682,70.4,AVOID
224.0,63.331,70.1,AVOID
227.0,63.950,69.7,AVOID
233.0,65.930,68.9,CLEAN
236.0,66.809,68.5,CLEAN
238.0,67.331,68.3,CLEAN
244.0,68.850,67.5,AVOID
247.0,69.491,67.1,AVOID
249.0,70.038,66.8,AVOID
256.0,71.830,65.9,CLEAN
258.0,72.692,65.6,CLEAN
263.0,73.950,64.9,CLEAN
267.0,74.985,64.4,CLEAN
274.0,76.806,63.5,CLEAN
276.0,77.275,63.2,AVOID
279.0,77.880,62.8,AVOID
281.0,78.580,62.5,CLEAN
284.0,79.238,62.1,CLEAN
286.0,79.773,61.9,AVOID
289.0,80.379,61.5,CLEAN
292.0,81.169,61.2,CLEAN
294.0,81.692,60.8,AVOID
298.0,82.737,60.3,CLEAN
300.0,83.330,60.0,AVOID
303.0,83.768,59.6,AVOID
307.0,84.740,59.1,CLEAN
309.0,85.416,58.8,CLEAN
312.0,86.635,58.4,CLEAN
320.0,88.689,57.3,CLEAN
322.0,89.606,57.1,CLEAN
325.0,90.449,56.7,CLEAN
328.0,91.521,56.3,AVOID
330.0,92.009,56.0,AVOID
333.0,92.639,55.6,AVOID
