time_sec,tick,event_type,detail
2.00,0,AUTO_MODE,ENABLED
131.00,2102,WP_SKIPPED,wp=17 pos=(-0.17,0.91) dist=2.02m timeout=6s totalSkipped=18
131.00,2102,BEHAVIOUR_CHANGE,AVOID->CLEAN gps=(-0.17,0.91) batt=83%
137.00,2224,WP_SKIPPED,wp=18 pos=(0.77,1.12) dist=1.09m timeout=6s totalSkipped=19
140.00,2289,AUTO_MODE,DISABLED
152.00,2289,WP_SKIPPED,wp=19 pos=(1.15,1.36) dist=3.00m timeout=6s totalSkipped=20
152.00,2289,AUTO_MODE,ENABLED
158.00,2417,WP_SKIPPED,wp=20 pos=(0.71,1.29) dist=2.59m timeout=6s totalSkipped=21
164.00,2533,WP_SKIPPED,wp=21 pos=(0.69,1.44) dist=1.18m timeout=6s totalSkipped=22
164.00,2534,CLEAN_PASS_DONE,pass=1 lanes=0 totalLanes=0 dist=45.55m pos=(0.69,1.44)
164.00,2535,CLEAN_START,pos=(0.69,1.44) totalWP=22
164.00,2542,AUTO_MODE,DISABLED
187.00,2542,WP_SKIPPED,wp=0 pos=(1.98,1.19) dist=4.89m timeout=6s totalSkipped=23
187.00,2542,AUTO_MODE,ENABLED
191.00,2618,BEHAVIOUR_CHANGE,CLEAN->AVOID gps=(2.04,1.28) batt=75%
198.00,2765,WP_SKIPPED,wp=1 pos=(2.03,1.36) dist=3.22m timeout=6s totalSkipped=24
198.00,2765,BEHAVIOUR_CHANGE,AVOID->CLEAN gps=(2.03,1.36) batt=74%
199.00,2775,BEHAVIOUR_CHANGE,CLEAN->AVOID gps=(2.04,1.35) batt=74%
201.00,2817,AUTO_MODE,DISABLED
207.00,2817,AUTO_MODE,ENABLED
207.00,2817,WP_SKIPPED,wp=2 pos=(1.73,1.68) dist=3.18m timeout=6s totalSkipped=25
207.00,2817,BEHAVIOUR_CHANGE,AVOID->CLEAN gps=(1.73,1.68) batt=72%
213.00,2949,WP_SKIPPED,wp=3 pos=(1.16,1.37) dist=4.16m timeout=6s totalSkipped=26
219.00,3057,WP_SKIPPED,wp=4 pos=(0.85,1.31) dist=3.65m timeout=6s totalSkipped=27
223.00,3129,AUTO_MODE,DISABLED
242.00,3130,WP_SKIPPED,wp=5 pos=(-0.68,1.42) dist=3.61m timeout=6s totalSkipped=28
242.00,3130,AUTO_MODE,ENABLED
245.00,3196,STUCK_ESCAPE,wp=6 moved=0.073m pos=(-0.61,1.44) dir=-1
247.00,3221,BACKUP_DONE,wp=6 pos=(-0.63,1.48)
248.00,3256,WP_SKIPPED,wp=6 pos=(-0.67,1.51) dist=3.42m timeout=6s totalSkipped=29
251.00,3309,BEHAVIOUR_CHANGE,CLEAN->AVOID gps=(-0.70,1.52) batt=67%
251.00,3320,STUCK_ESCAPE,wp=7 moved=0.032m pos=(-0.70,1.52) dir=1
251.00,3320,BEHAVIOUR_CHANGE,AVOID->CLEAN gps=(-0.70,1.52) batt=67%
252.00,3332,BEHAVIOUR_CHANGE,CLEAN->AVOID gps=(-0.67,1.49) batt=66%
255.00,3406,BACKUP_DONE,wp=7 pos=(-0.55,1.47)
255.00,3406,WP_SKIPPED,wp=7 pos=(-0.55,1.47) dist=2.62m timeout=6s totalSkipped=30
255.00,3406,BEHAVIOUR_CHANGE,AVOID->CLEAN gps=(-0.55,1.47) batt=66%
255.00,3408,BEHAVIOUR_CHANGE,CLEAN->AVOID gps=(-0.55,1.47) batt=66%
256.00,3430,AUTO_MODE,DISABLED
262.00,3430,AUTO_MODE,ENABLED
262.00,3430,WP_SKIPPED,wp=8 pos=(-0.39,1.23) dist=2.23m timeout=6s totalSkipped=31
262.00,3430,BEHAVIOUR_CHANGE,AVOID->CLEAN gps=(-0.39,1.23) batt=65%
269.00,3553,WP_SKIPPED,wp=9 pos=(-0.38,0.99) dist=2.65m timeout=6s totalSkipped=32
275.00,3674,WP_SKIPPED,wp=10 pos=(0.58,0.53) dist=1.42m timeout=6s totalSkipped=33
281.00,3798,WP_SKIPPED,wp=11 pos=(0.22,0.30) dist=2.11m timeout=6s totalSkipped=34
283.00,3837,AUTO_MODE,DISABLED
307.00,3837,AUTO_MODE,ENABLED
307.00,3837,WP_SKIPPED,wp=12 pos=(-0.98,-2.03) dist=2.44m timeout=6s totalSkipped=35
308.00,3861,BEHAVIOUR_CHANGE,CLEAN->AVOID gps=(-0.98,-2.03) batt=59%
320.00,4101,AUTO_MODE,DISABLED
328.00,4102,AUTO_MODE,ENABLED
328.00,4102,WP_SKIPPED,wp=13 pos=(-0.97,-2.16) dist=3.71m timeout=6s totalSkipped=36
328.00,4102,BEHAVIOUR_CHANGE,AVOID->CLEAN gps=(-0.97,-2.16) batt=56%
329.00,4136,BEHAVIOUR_CHANGE,CLEAN->AVOID gps=(-0.97,-2.16) batt=56%
331.00,4177,STUCK_ESCAPE,wp=14 moved=0.000m pos=(-0.97,-2.16) dir=-1
331.00,4177,BEHAVIOUR_CHANGE,AVOID->CLEAN gps=(-0.97,-2.16) batt=56%
331.00,4179,BEHAVIOUR_CHANGE,CLEAN->AVOID gps=(-0.97,-2.16) batt=56%
337.00,4288,AUTO_MODE,DISABLED
343.00,4288,AUTO_MODE,ENABLED
343.00,4288,BACKUP_DONE,wp=14 pos=(-0.73,-1.87)
343.00,4288,WP_SKIPPED,wp=14 pos=(-0.73,-1.87) dist=3.57m timeout=6s totalSkipped=37
343.00,4288,BEHAVIOUR_CHANGE,AVOID->CLEAN gps=(-0.73,-1.87) batt=54%
350.00,4411,WP_SKIPPED,wp=15 pos=(-0.67,-1.68) dist=2.57m timeout=6s totalSkipped=38
356.00,4524,WP_SKIPPED,wp=16 pos=(-1.13,-0.69) dist=1.79m timeout=6s totalSkipped=39
362.00,4656,WP_SKIPPED,wp=17 pos=(-1.32,-0.39) dist=3.44m timeout=6s totalSkipped=40
365.00,4725,STUCK_ESCAPE,wp=18 moved=0.000m pos=(-1.32,-0.39) dir=1
366.00,4755,BACKUP_DONE,wp=18 pos=(-1.33,-0.58)
368.00,4786,WP_SKIPPED,wp=18 pos=(-1.28,-0.67) dist=3.70m timeout=6s totalSkipped=41
374.00,4900,STUCK_ESCAPE,wp=19 moved=0.000m pos=(-1.47,-0.76) dir=-1
375.00,4924,BACKUP_DONE,wp=19 pos=(-1.44,-0.77)
375.00,4924,WP_SKIPPED,wp=19 pos=(-1.44,-0.77) dist=2.11m timeout=6s totalSkipped=42
379.00,4995,BEHAVIOUR_CHANGE,CLEAN->AVOID gps=(-1.44,-0.89) batt=50%
379.00,4996,BEHAVIOUR_CHANGE,AVOID->CLEAN gps=(-1.44,-0.89) batt=50%
380.00,5004,BEHAVIOUR_CHANGE,CLEAN->AVOID gps=(-1.45,-0.89) batt=50%
380.00,5014,BEHAVIOUR_CHANGE,AVOID->CLEAN gps=(-1.48,-0.88) batt=49%
381.00,5032,WP_SKIPPED,wp=20 pos=(-1.54,-0.84) dist=2.51m timeout=6s totalSkipped=43
387.00,5148,WP_SKIPPED,wp=21 pos=(-0.94,-0.33) dist=3.42m timeout=6s totalSkipped=44
387.00,5149,CLEAN_PASS_DONE,pass=2 lanes=0 totalLanes=0 dist=104.23m pos=(-0.94,-0.33)
387.00,5150,CLEAN_START,pos=(-0.94,-0.33) totalWP=22
393.00,5276,WP_SKIPPED,wp=0 pos=(-0.88,-0.55) dist=1.62m timeout=6s totalSkipped=45
394.00,5286,AUTO_MODE,DISABLED
411.00,5287,AUTO_MODE,ENABLED
411.00,5287,WP_SKIPPED,wp=1 pos=(1.35,-1.92) dist=0.50m timeout=6s totalSkipped=46
417.00,5393,WP_REACHED,wp=2 pos=(1.71,-1.64) err=0.198m
420.00,5448,STUCK_ESCAPE,wp=3 moved=0.064m pos=(1.66,-1.60) dir=1
421.00,5475,BACKUP_DONE,wp=3 pos=(1.64,-1.58)
423.00,5505,WP_SKIPPED,wp=3 pos=(1.71,-1.57) dist=3.56m timeout=6s totalSkipped=47
429.00,5623,WP_SKIPPED,wp=4 pos=(1.87,-1.59) dist=3.75m timeout=6s totalSkipped=48
432.00,5679,STUCK_ESCAPE,wp=5 moved=0.030m pos=(1.90,-1.59) dir=-1
433.00,5711,BACKUP_DONE,wp=5 pos=(1.86,-1.56)
435.00,5739,WP_SKIPPED,wp=5 pos=(1.83,-1.57) dist=0.42m timeout=6s totalSkipped=49
441.00,5860,WP_SKIPPED,wp=6 pos=(1.76,-1.54) dist=0.75m timeout=6s totalSkipped=50
447.00,5977,WP_SKIPPED,wp=7 pos=(0.81,-1.28) dist=2.70m timeout=6s totalSkipped=51
451.00,6051,BEHAVIOUR_CHANGE,CLEAN->WANDER gps=(0.07,-1.05) batt=40%
451.00,6051,BATTERY_WARN,below40% pos=(0.07,-1.05)
459.00,6212,BEHAVIOUR_CHANGE,WANDER->AVOID gps=(-2.00,-0.37) batt=39%
460.00,6236,BEHAVIOUR_CHANGE,AVOID->WANDER gps=(-2.01,-0.44) batt=39%
462.00,6271,BEHAVIOUR_CHANGE,WANDER->AVOID gps=(-1.68,0.33) batt=38%
463.00,6282,BEHAVIOUR_CHANGE,AVOID->WANDER gps=(-1.67,0.32) batt=38%
468.00,6394,AUTO_MODE,DISABLED
475.00,6395,AUTO_MODE,ENABLED
479.00,6485,WANDER_TURN,steer=0.22
488.00,6648,AUTO_MODE,DISABLED
496.00,6648,AUTO_MODE,ENABLED
504.00,6801,BEHAVIOUR_CHANGE,WANDER->AVOID gps=(1.19,0.45) batt=33%
508.00,6873,BEHAVIOUR_CHANGE,AVOID->WANDER gps=(1.30,0.45) batt=32%
508.00,6874,BEHAVIOUR_CHANGE,WANDER->AVOID gps=(1.30,0.45) batt=32%
513.00,6971,AUTO_MODE,DISABLED
518.00,6971,AUTO_MODE,ENABLED
518.00,6971,BEHAVIOUR_CHANGE,AVOID->WANDER gps=(1.20,0.45) batt=31%
530.00,7184,BEHAVIOUR_CHANGE,WANDER->AVOID gps=(-1.97,-0.44) batt=30%
533.00,7242,BEHAVIOUR_CHANGE,AVOID->WANDER gps=(-2.03,-0.45) batt=29%
535.00,7291,BEHAVIOUR_CHANGE,WANDER->AVOID gps=(-1.72,0.35) batt=29%
538.00,7334,BEHAVIOUR_CHANGE,AVOID->WANDER gps=(-1.92,0.36) batt=28%
538.00,7344,BEHAVIOUR_CHANGE,WANDER->AVOID gps=(-1.95,0.35) batt=28%
540.00,7374,BEHAVIOUR_CHANGE,AVOID->WANDER gps=(-1.94,0.44) batt=28%
540.00,7375,BEHAVIOUR_CHANGE,WANDER->AVOID gps=(-1.94,0.44) batt=28%
541.00,7395,BEHAVIOUR_CHANGE,AVOID->WANDER gps=(-1.85,0.39) batt=28%
541.00,7396,BEHAVIOUR_CHANGE,WANDER->AVOID gps=(-1.85,0.39) batt=28%
543.00,7425,BEHAVIOUR_CHANGE,AVOID->WANDER gps=(-1.94,0.49) batt=28%
543.00,7434,BEHAVIOUR_CHANGE,WANDER->AVOID gps=(-1.95,0.55) batt=28%
544.00,7444,WANDER_TURN,steer=-0.26
544.00,7444,BEHAVIOUR_CHANGE,AVOID->WANDER gps=(-1.91,0.49) batt=28%
547.00,7499,BEHAVIOUR_CHANGE,WANDER->AVOID gps=(-1.70,0.34) batt=27%
547.00,7509,BEHAVIOUR_CHANGE,AVOID->WANDER gps=(-1.70,0.34) batt=27%
548.00,7529,BEHAVIOUR_CHANGE,WANDER->AVOID gps=(-1.61,0.31) batt=27%
549.00,7537,BEHAVIOUR_CHANGE,AVOID->WANDER gps=(-1.53,0.32) batt=27%
552.00,7596,BEHAVIOUR_CHANGE,WANDER->AVOID gps=(-1.58,0.70) batt=26%
553.00,7613,BEHAVIOUR_CHANGE,AVOID->WANDER gps=(-1.65,0.70) batt=26%
554.00,7646,BEHAVIOUR_CHANGE,WANDER->AVOID gps=(-1.78,0.58) batt=26%
555.00,7656,BEHAVIOUR_CHANGE,AVOID->WANDER gps=(-1.79,0.50) batt=26%
555.00,7662,BEHAVIOUR_CHANGE,WANDER->AVOID gps=(-1.83,0.51) batt=26%
556.00,7672,BEHAVIOUR_CHANGE,AVOID->WANDER gps=(-1.78,0.44) batt=26%
565.00,7850,BEHAVIOUR_CHANGE,WANDER->AVOID gps=(-0.01,-2.14) batt=25%
577.00,8092,AUTO_MODE,DISABLED
580.00,8092,AUTO_MODE,ENABLED
581.00,8092,BEHAVIOUR_CHANGE,AVOID->WANDER gps=(1.36,-1.88) batt=23%
584.00,8153,BEHAVIOUR_CHANGE,WANDER->AVOID gps=(0.30,-1.99) batt=22%
584.00,8163,BEHAVIOUR_CHANGE,AVOID->WANDER gps=(0.11,-2.01) batt=22%
589.00,8236,BEHAVIOUR_CHANGE,WANDER->AVOID gps=(-1.39,-1.59) batt=22%
595.00,8354,BEHAVIOUR_CHANGE,AVOID->WANDER gps=(-1.42,-1.60) batt=21%
600.00,8436,BEHAVIOUR_CHANGE,WANDER->TRACK gps=(-1.10,-0.13) batt=20%
601.00,8453,BATTERY_CRIT,below20% pos=(-1.05,0.12)
605.00,8528,BEHAVIOUR_CHANGE,TRACK->AVOID gps=(-1.05,0.12) batt=20%
605.00,8529,BEHAVIOUR_CHANGE,AVOID->TRACK gps=(-1.05,0.12) batt=19%
608.00,8600,AUTO_MODE,DISABLED
609.00,8600,AUTO_MODE,ENABLED
610.00,8614,BEHAVIOUR_CHANGE,TRACK->AVOID gps=(-0.98,0.28) batt=19%
611.00,8646,BEHAVIOUR_CHANGE,AVOID->TRACK gps=(-1.13,0.31) batt=19%
612.00,8659,BEHAVIOUR_CHANGE,TRACK->AVOID gps=(-1.17,0.30) batt=18%
612.00,8660,BEHAVIOUR_CHANGE,AVOID->TRACK gps=(-1.17,0.30) batt=18%
612.00,8666,BEHAVIOUR_CHANGE,TRACK->AVOID gps=(-1.17,0.30) batt=18%
612.00,8667,BEHAVIOUR_CHANGE,AVOID->TRACK gps=(-1.17,0.30) batt=18%
615.00,8721,AUTO_MODE,DISABLED
619.00,8721,AUTO_MODE,ENABLED
621.00,8769,AUTO_MODE,DISABLED
646.00,8769,AUTO_MODE,ENABLED
656.00,8953,DOCKED,pos=(1.54,-0.70) batt=12.5%
664.00,8954,CHARGE_COMPLETE,pos=(1.56,-0.71) dist=180.09m passes=2 batt=99.1%
