time_sec,tick,event_type,detail
2.00,0,AUTO_MODE,ENABLED
2.00,0,CLEAN_START,pos=(1.78,-0.78) totalWP=22
2.00,0,BEHAVIOUR_CHANGE,INIT->CLEAN gps=(1.78,-0.78) batt=100%
5.00,71,STUCK_ESCAPE,wp=0 moved=0.010m pos=(1.79,-0.78) dir=1
6.00,98,BACKUP_DONE,wp=0 pos=(1.75,-0.87)
8.00,136,WP_SKIPPED,wp=0 pos=(1.74,-0.93) dist=3.71m timeout=6s totalSkipped=1
11.00,203,STUCK_ESCAPE,wp=1 moved=0.072m pos=(1.80,-0.89) dir=-1
13.00,229,BACKUP_DONE,wp=1 pos=(1.87,-0.89)
14.00,266,WP_SKIPPED,wp=1 pos=(1.92,-0.90) dist=0.95m timeout=6s totalSkipped=2
20.00,390,WP_SKIPPED,wp=2 pos=(1.86,-0.99) dist=0.51m timeout=6s totalSkipped=3
27.00,502,WP_SKIPPED,wp=3 pos=(1.42,-1.13) dist=3.29m timeout=6s totalSkipped=4
33.00,637,WP_SKIPPED,wp=4 pos=(0.36,-1.15) dist=2.21m timeout=6s totalSkipped=5
35.00,685,BEHAVIOUR_CHANGE,CLEAN->AVOID gps=(0.28,-1.16) batt=95%
35.00,686,BEHAVIOUR_CHANGE,AVOID->CLEAN gps=(0.28,-1.16) batt=95%
35.00,697,BEHAVIOUR_CHANGE,CLEAN->AVOID gps=(0.28,-1.15) batt=95%
35.00,698,BEHAVIOUR_CHANGE,AVOID->CLEAN gps=(0.28,-1.15) batt=95%
36.00,701,STUCK_ESCAPE,wp=5 moved=0.080m pos=(0.28,-1.15) dir=1
37.00,736,BACKUP_DONE,wp=5 pos=(0.23,-1.21)
39.00,767,WP_SKIPPED,wp=5 pos=(0.21,-1.25) dist=1.64m timeout=6s totalSkipped=6
40.00,792,AUTO_MODE,DISABLED
41.00,792,AUTO_MODE,ENABLED
43.00,831,BEHAVIOUR_CHANGE,CLEAN->AVOID gps=(0.09,-1.21) batt=94%
47.00,920,AUTO_MODE,DISABLED
56.00,920,AUTO_MODE,ENABLED
56.00,920,WP_SKIPPED,wp=6 pos=(0.14,-1.38) dist=1.81m timeout=6s totalSkipped=7
56.00,920,BEHAVIOUR_CHANGE,AVOID->CLEAN gps=(0.14,-1.38) batt=93%
59.00,976,STUCK_ESCAPE,wp=7 moved=0.051m pos=(0.15,-1.33) dir=-1
60.00,999,BACKUP_DONE,wp=7 pos=(0.16,-1.32)
62.00,1039,WP_SKIPPED,wp=7 pos=(0.16,-1.40) dist=2.10m timeout=6s totalSkipped=8
68.00,1162,WP_SKIPPED,wp=8 pos=(-0.04,-1.47) dist=2.08m timeout=6s totalSkipped=9
71.00,1229,AUTO_MODE,DISABLED
78.00,1229,AUTO_MODE,ENABLED
78.00,1229,WP_SKIPPED,wp=9 pos=(-0.70,-1.34) dist=2.70m timeout=6s totalSkipped=10
81.00,1289,STUCK_ESCAPE,wp=10 moved=0.051m pos=(-0.75,-1.35) dir=1
83.00,1315,BACKUP_DONE,wp=10 pos=(-0.73,-1.32)
84.00,1351,WP_SKIPPED,wp=10 pos=(-0.74,-1.40) dist=2.90m timeout=6s totalSkipped=11
90.00,1477,WP_SKIPPED,wp=11 pos=(-0.83,-1.16) dist=1.47m timeout=6s totalSkipped=12
96.00,1600,WP_SKIPPED,wp=12 pos=(-1.47,-0.28) dist=0.65m timeout=6s totalSkipped=13
103.00,1720,WP_SKIPPED,wp=13 pos=(-1.09,-0.11) dist=2.96m timeout=6s totalSkipped=14
109.00,1836,WP_SKIPPED,wp=14 pos=(-0.04,0.14) dist=1.95m timeout=6s totalSkipped=15
115.00,1958,WP_SKIPPED,wp=15 pos=(-0.27,0.28) dist=1.61m timeout=6s totalSkipped=16
116.00,1993,BEHAVIOUR_CHANGE,CLEAN->AVOID gps=(-0.56,0.35) batt=85%
119.00,2046,BEHAVIOUR_CHANGE,AVOID->CLEAN gps=(-0.59,0.28) batt=84%
119.00,2047,BEHAVIOUR_CHANGE,CLEAN->AVOID gps=(-0.59,0.28) batt=84%
121.00,2078,WP_SKIPPED,wp=16 pos=(-0.58,0.28) dist=1.44m timeout=6s totalSkipped=17
121.00,2078,BEHAVIOUR_CHANGE,AVOID->CLEAN gps=(-0.58,0.28) batt=84%
121.00,2080,BEHAVIOUR_CHANGE,CLEAN->AVOID gps=(-0.58,0.28) batt=84%
121.00,2091,BEHAVIOUR_CHANGE,AVOID->CLEAN gps=(-0.58,0.26) batt=84%
121.00,2092,BEHAVIOUR_CHANGE,CLEAN->AVOID gps=(-0.58,0.26) batt=84%
122.00,2101,AUTO_MODE,DISABLED
131.00,2102,AUTO_MODE,ENABLED
