gps_x,gps_y,behaviour,battery_pct,time_sec
1.79,-0.78,CLEAN,99.5,5.0
1.75,-0.87,CLEAN,99.1,7.0
1.78,-0.90,CLEAN,98.8,9.0
1.80,-0.89,CLEAN,98.5,11.0
1.92,-0.90,CLEAN,98.3,13.0
1.90,-0.78,CLEAN,97.9,16.0
1.82,-0.84,CLEAN,97.6,18.0
1.86,-0.99,CLEAN,97.2,21.0
1.78,-1.12,CLEAN,96.8,24.0
1.42,-1.13,CLEAN,96.5,26.0
1.12,-1.16,CLEAN,96.3,28.0
0.76,-1.15,CLEAN,95.9,31.0
0.28,-1.16,CLEAN,95.6,33.0
0.28,-1.15,CLEAN,95.3,35.0
0.21,-1.25,CLEAN,94.9,38.0
0.10,-1.21,CLEAN,94.5,41.0
0.14,-1.13,AVOID,94.1,44.0
0.20,-1.10,AVOID,93.9,46.0
0.14,-1.38,CLEAN,92.4,57.0
0.16,-1.32,CLEAN,92.0,60.0
0.16,-1.40,CLEAN,91.7,62.0
0.13,-1.50,CLEAN,91.3,65.0
0.01,-1.49,CLEAN,91.1,67.0
-0.15,-1.39,CLEAN,90.7,70.0
-0.75,-1.35,CLEAN,89.5,79.0
-0.71,-1.28,CLEAN,89.1,82.0
-0.74,-1.40,CLEAN,88.8,84.0
-0.63,-1.39,CLEAN,88.5,87.0
-0.70,-1.26,CLEAN,88.1,89.0
-0.98,-1.02,CLEAN,87.9,91.0
-1.18,-0.69,CLEAN,87.5,94.0
-1.47,-0.28,CLEAN,87.2,96.0
-1.49,-0.13,CLEAN,86.8,99.0
-1.29,-0.10,CLEAN,86.4,102.0
-0.89,-0.08,CLEAN,86.1,104.0
-0.41,0.04,CLEAN,85.7,107.0
0.05,0.16,CLEAN,85.5,109.0
0.05,0.16,CLEAN,85.1,112.0
-0.17,0.27,CLEAN,84.8,114.0
-0.56,0.35,AVOID,84.4,117.0
-0.59,0.28,AVOID,84.1,119.0
-0.58,0.26,AVOID,83.7,122.0
0.09,1.03,CLEAN,82.3,133.0
0.58,1.08,CLEAN,81.9,136.0
0.88,1.14,CLEAN,81.6,138.0
1.14,1.36,CLEAN,79.7,152.0
1.10,1.30,CLEAN,79.5,155.0
0.80,1.28,CLEAN,79.1,157.0
0.60,1.31,CLEAN,78.8,159.0
0.65,1.42,CLEAN,78.4,162.0
1.98,1.19,CLEAN,75.1,187.0
2.01,1.24,CLEAN,74.7,190.0
2.08,1.25,AVOID,74.4,192.0
2.05,1.29,AVOID,74.0,195.0
2.07,1.31,AVOID,73.6,198.0
2.03,1.35,AVOID,73.3,200.0
1.62,1.78,CLEAN,72.1,209.0
1.48,1.71,CLEAN,71.9,211.0
1.16,1.37,CLEAN,71.6,213.0
1.00,1.31,CLEAN,71.2,216.0
0.89,1.31,CLEAN,70.8,219.0
0.78,1.31,CLEAN,70.5,221.0
-0.68,1.42,CLEAN,67.6,243.0
-0.61,1.44,CLEAN,67.2,246.0
-0.67,1.51,CLEAN,66.9,248.0
-0.67,1.51,CLEAN,66.5,251.0
-0.64,1.45,AVOID,66.3,253.0
-0.56,1.50,AVOID,66.0,255.0
-0.40,1.17,CLEAN,64.9,263.0
-0.44,1.11,CLEAN,64.5,266.0
-0.42,1.02,CLEAN,64.3,268.0
-0.04,0.84,CLEAN,63.9,271.0
0.32,0.66,CLEAN,63.6,273.0
0.65,0.49,CLEAN,63.2,276.0
0.58,0.38,CLEAN,62.9,278.0
0.22,0.30,CLEAN,62.5,281.0
-0.98,-2.03,CLEAN,58.9,308.0
-0.93,-2.01,AVOID,58.7,310.0
-0.92,-2.00,AVOID,58.4,312.0
-0.88,-2.01,AVOID,58.1,315.0
-0.90,-2.05,AVOID,57.7,317.0
-0.90,-2.02,AVOID,57.3,320.0
-0.97,-2.16,AVOID,56.0,330.0
-0.90,-2.16,AVOID,55.7,332.0
-0.88,-2.16,AVOID,55.5,334.0
-0.61,-1.98,CLEAN,54.1,344.0
-0.60,-1.99,CLEAN,53.9,346.0
-0.62,-1.76,CLEAN,53.5,349.0
-0.85,-1.32,CLEAN,53.2,351.0
-1.01,-0.96,CLEAN,52.8,354.0
-1.18,-0.58,CLEAN,52.4,357.0
-1.18,-0.57,CLEAN,52.1,359.0
-1.32,-0.39,CLEAN,51.9,361.0
-1.32,-0.39,CLEAN,51.5,364.0
-1.34,-0.47,CLEAN,51.2,366.0
-1.28,-0.69,CLEAN,50.8,369.0
-1.47,-0.76,CLEAN,50.5,371.0
-1.47,-0.76,CLEAN,50.1,374.0
-1.37,-0.80,CLEAN,49.7,377.0
-1.44,-0.89,CLEAN,49.5,379.0
-1.56,-0.79,CLEAN,49.1,382.0
-1.36,-0.61,CLEAN,48.7,385.0
-0.94,-0.33,CLEAN,48.4,387.0
-0.85,-0.25,CLEAN,48.0,390.0
-0.81,-0.39,CLEAN,47.7,392.0
1.41,-1.95,CLEAN,45.1,412.0
1.52,-1.83,CLEAN,44.7,415.0
1.71,-1.64,CLEAN,44.4,417.0
1.66,-1.60,CLEAN,44.0,420.0
1.71,-1.57,CLEAN,43.6,423.0
1.86,-1.75,CLEAN,43.3,425.0
1.88,-1.67,CLEAN,42.9,428.0
1.87,-1.59,CLEAN,42.7,430.0
1.91,-1.59,CLEAN,42.3,433.0
1.83,-1.57,CLEAN,42.0,435.0
1.85,-1.69,CLEAN,41.6,438.0
1.76,-1.61,CLEAN,41.2,441.0
