gps_x,gps_y,behaviour,battery_pct,time_sec
1.76,-1.48,CLEAN,40.9,443.0
1.32,-1.37,CLEAN,40.5,446.0
0.61,-1.24,CLEAN,40.3,448.0
0.17,-1.08,CLEAN,40.0,450.0
-0.31,-0.92,WANDER,39.6,453.0
-0.90,-0.73,WANDER,39.2,456.0
-1.67,-0.48,WANDER,38.9,458.0
-1.92,-0.24,WANDER,38.5,461.0
-1.70,0.28,WANDER,38.3,463.0
-1.41,0.42,WANDER,38.0,465.0
0.10,-0.25,WANDER,36.7,475.0
-0.28,-0.01,WANDER,36.4,477.0
-0.69,0.27,WANDER,36.0,480.0
-0.88,0.31,WANDER,35.6,483.0
-0.88,0.31,WANDER,35.2,486.0
-0.46,0.21,WANDER,33.9,496.0
0.06,0.32,WANDER,33.6,499.0
0.46,0.36,WANDER,33.2,501.0
1.19,0.45,WANDER,32.9,503.0
1.27,0.47,AVOID,32.5,506.0
1.35,0.47,AVOID,32.1,509.0
1.24,0.46,AVOID,31.9,511.0
0.97,0.39,WANDER,30.8,519.0
0.52,0.26,WANDER,30.4,522.0
-0.45,-0.01,WANDER,30.0,525.0
-1.40,-0.28,WANDER,29.6,528.0
-2.15,-0.49,AVOID,29.3,530.0
-2.03,-0.45,WANDER,28.9,533.0
-1.74,0.36,AVOID,28.5,536.0
-1.95,0.35,AVOID,28.3,538.0
-1.85,0.39,AVOID,27.9,541.0
-1.91,0.49,WANDER,27.5,544.0
-1.70,0.34,AVOID,27.1,547.0
-1.52,0.31,WANDER,26.7,550.0
-1.58,0.70,AVOID,26.4,552.0
-1.78,0.58,AVOID,26.1,554.0
-1.74,0.30,WANDER,25.7,557.0
-1.19,-0.50,WANDER,25.3,560.0
-0.71,-1.17,WANDER,25.1,562.0
-0.01,-2.14,WANDER,24.7,565.0
0.16,-2.01,AVOID,24.3,568.0
0.14,-1.99,AVOID,24.0,570.0
0.03,-2.15,AVOID,23.7,572.0
0.30,-2.02,AVOID,23.3,575.0
1.36,-1.88,WANDER,22.5,581.0
0.49,-1.97,WANDER,22.1,584.0
-0.63,-1.81,WANDER,21.7,587.0
-1.53,-1.56,AVOID,21.3,590.0
-1.51,-1.57,AVOID,21.1,592.0
-1.39,-1.75,AVOID,20.7,595.0
-1.27,-0.85,WANDER,20.3,598.0
-1.06,0.07,TRACK,20.0,600.0
-1.05,0.12,TRACK,19.6,603.0
-1.03,0.11,TRACK,19.2,606.0
-1.03,0.12,TRACK,18.9,608.0
-1.13,0.31,TRACK,18.4,612.0
-1.13,0.27,TRACK,18.1,614.0
-0.82,-1.01,TRACK,17.3,620.0
0.69,-0.50,TRACK,13.6,648.0
0.98,-0.54,TRACK,13.3,650.0
1.25,-0.64,TRACK,12.9,653.0
1.47,-0.69,TRACK,12.7,655.0
