time_sec,gps_x,gps_y,battery_pct,left_enc,right_enc,distance_m,behaviour,sonar_0,sonar_1,sonar_2,cam_score,clean_phase,wp_index
0.0,0.00,-92233720368547760.00,99.9,0.0000,0.0000,0.000,CLEAN,1.000,1.000,1.000,0.000,WAITING_GPS,0
0.0,0.00,-92233720368547760.00,99.9,0.0000,0.0000,0.000,CLEAN,1.000,1.000,1.000,0.000,WAITING_GPS,0
1.0,0.00,-92233720368547760.00,99.8,0.0000,0.0000,0.000,CLEAN,0.600,0.500,0.400,0.530,WAITING_GPS,0
3.0,1.80,-0.78,99.6,0.3100,-0.1100,0.721,CLEAN,0.800,1.000,1.000,0.297,DRIVE_LANE,3
5.0,1.76,-0.74,99.3,1.5000,-0.8000,1.419,CLEAN,1.000,1.000,1.000,0.341,DRIVE_LANE,3
7.0,1.58,-0.63,99.0,1.8800,-0.3500,2.171,CLEAN,1.000,1.000,1.000,0.447,DRIVE_LANE,3
9.0,1.28,-0.67,98.7,2.5800,0.9600,3.130,CLEAN,1.000,1.000,0.900,0.373,DRIVE_LANE,3
12.0,0.89,-0.65,98.4,4.1200,2.6400,4.162,CLEAN,1.000,1.000,0.500,0.406,DRIVE_LANE,3
15.0,0.39,-0.66,98.0,5.8000,3.9900,5.271,AVOID,1.000,1.000,0.100,0.198,DRIVE_LANE,3
17.0,0.46,-0.72,97.7,5.8200,3.2600,5.629,AVOID,0.200,0.200,1.000,0.428,DRIVE_LANE,3
19.0,0.45,-0.71,97.5,5.8100,3.3100,6.025,AVOID,1.000,0.200,0.200,0.431,DRIVE_LANE,3
21.0,0.47,-0.73,97.1,5.9000,3.2400,6.512,AVOID,0.200,0.200,0.200,0.458,DRIVE_LANE,3
23.0,0.48,-0.70,96.9,5.9000,3.1800,6.969,AVOID,0.200,0.200,1.000,0.423,DRIVE_LANE,3
25.0,0.43,-0.50,96.5,7.2500,4.0300,7.694,CLEAN,1.000,1.000,1.000,0.273,DRIVE_LANE,3
28.0,0.33,-0.37,96.2,6.7400,5.1600,8.429,AVOID,0.100,0.200,1.000,0.430,DRIVE_LANE,3
31.0,0.38,-0.39,95.8,6.7000,5.1500,8.826,AVOID,0.200,0.100,0.200,0.331,DRIVE_LANE,3
33.0,0.39,-0.41,95.5,6.8000,5.3000,9.423,AVOID,1.000,0.100,0.100,0.323,DRIVE_LANE,3
36.0,0.37,-0.44,95.1,6.6700,5.0300,9.831,AVOID,0.200,0.100,0.200,0.359,DRIVE_LANE,3
38.0,0.32,-0.35,94.8,7.7300,5.1900,10.583,CLEAN,1.000,1.000,1.000,0.406,DRIVE_LANE,3
41.0,0.14,-0.26,94.5,7.3800,5.6900,11.231,AVOID,0.200,0.100,0.300,0.355,DRIVE_LANE,3
43.0,0.14,-0.25,94.2,7.4700,7.1000,12.198,AVOID,1.000,0.200,0.200,0.332,DRIVE_LANE,3
46.0,-0.34,-0.14,93.8,5.9400,7.9800,13.205,CLEAN,1.000,1.000,1.000,0.352,DRIVE_LANE,3
48.0,-0.68,-0.23,93.5,5.4400,6.8000,14.072,CLEAN,0.500,0.500,0.500,0.396,DRIVE_LANE,3
50.0,-0.67,-0.22,93.2,6.0800,6.2500,14.908,CLEAN,1.000,1.000,1.000,0.329,ADVANCE_LANE,4
52.0,-0.67,-0.22,93.1,4.8000,7.3400,15.677,CLEAN,1.000,0.500,0.500,0.298,ADVANCE_LANE,4
53.0,-0.60,-0.33,92.8,5.0100,6.1400,16.405,CLEAN,1.000,1.000,1.000,0.320,DRIVE_LANE,4
56.0,-0.60,-0.33,92.5,6.8800,4.2700,17.602,CLEAN,1.000,1.000,1.000,0.442,DRIVE_LANE,4
58.0,-0.70,-0.33,92.2,5.8700,6.1000,18.643,CLEAN,1.000,1.000,1.000,0.303,DRIVE_LANE,4
61.0,-0.69,-0.43,91.9,5.3500,7.4200,19.364,CLEAN,1.000,1.000,0.400,0.343,DRIVE_LANE,4
63.0,-0.35,-0.38,91.5,7.2100,9.2600,20.290,CLEAN,1.000,1.000,1.000,0.397,DRIVE_LANE,4
66.0,0.00,-0.36,91.1,8.7500,10.6300,21.499,CLEAN,1.000,1.000,0.200,0.403,DRIVE_LANE,4
68.0,0.09,-0.35,90.9,9.7100,11.0100,22.111,AVOID,1.000,0.100,1.000,0.367,DRIVE_LANE,4
70.0,0.06,-0.36,90.6,10.2400,10.5900,22.506,AVOID,1.000,1.000,1.000,0.394,DRIVE_LANE,4
72.0,-0.02,-0.36,90.3,10.4800,11.0500,22.937,AVOID,1.000,1.000,1.000,0.397,DRIVE_LANE,4
