time_sec,gps_x,gps_y,battery_pct,left_enc,right_enc,coverage_pct,behavior
7.0,1.79,-0.78,100.0,1.37,-1.25,0.3,CLEAN
13.7,1.36,-0.78,100.0,2.71,0.06,0.8,CLEAN
21.1,0.74,-0.67,100.0,3.55,1.80,2.2,CLEAN
29.1,-0.19,-1.15,100.0,1.71,2.02,3.6,CLEAN
36.2,0.30,-1.41,100.0,3.08,3.66,4.4,CLEAN
43.3,0.89,-1.51,100.0,5.15,4.83,5.5,CLEAN
51.1,1.34,-1.53,100.0,5.08,7.53,6.4,CLEAN
58.6,1.22,-1.15,100.0,4.33,9.78,7.2,CLEAN
63.9,0.67,-1.14,100.0,4.97,10.49,8.0,CLEAN
71.1,-0.21,-0.92,100.0,3.59,11.52,8.9,CLEAN
78.2,-0.67,-0.76,100.0,3.32,13.11,10.0,CLEAN
86.3,-1.07,-1.18,100.0,3.65,12.58,11.1,CLEAN
93.6,-1.33,-1.07,100.0,4.39,12.22,11.6,CLEAN
100.9,-1.46,-0.88,100.0,5.80,11.45,12.5,CLEAN
108.4,-0.99,-1.02,100.0,6.80,11.72,13.3,CLEAN
116.3,-0.85,-0.61,100.0,7.24,11.04,13.9,CLEAN
123.5,-0.33,-0.93,100.0,8.01,13.59,13.9,CLEAN
131.4,0.37,-0.79,100.0,9.42,14.12,15.0,CLEAN
139.0,0.73,-0.71,100.0,9.62,15.97,15.2,CLEAN
146.4,1.14,-0.61,100.0,10.69,15.72,16.3,CLEAN
154.3,1.46,-0.55,100.0,9.13,16.99,16.9,CLEAN
161.8,0.74,-0.42,100.0,9.01,18.12,17.7,CLEAN
169.3,0.06,-0.51,100.0,9.03,17.77,19.4,CLEAN
177.2,-0.35,-0.50,100.0,10.07,18.05,20.2,CLEAN
185.1,-1.10,-0.08,100.0,9.22,20.73,21.9,CLEAN
192.2,-1.41,-0.04,100.0,10.77,20.17,22.4,CLEAN
199.9,-1.21,-0.05,100.0,11.31,21.02,22.7,CLEAN
207.9,-0.73,-0.28,100.0,10.97,22.68,23.3,CLEAN
216.2,-0.08,0.17,100.0,10.97,21.46,24.9,CLEAN
224.4,0.40,0.00,100.0,9.68,21.86,26.3,CLEAN
232.4,0.82,0.32,80.0,10.17,20.89,27.1,CLEAN
