gps_x,gps_y,behaviour,battery_pct,time_sec
1.78,-0.78,CLEAN,98.4,12.0
1.79,-0.71,CLEAN,98.0,15.0
1.76,-0.68,CLEAN,97.7,17.0
1.67,-0.58,CLEAN,97.3,20.0
1.96,-1.52,CLEAN,96.5,26.0
1.91,-1.57,CLEAN,96.1,29.0
0.28,-1.31,CLEAN,95.2,36.0
-0.12,-1.28,CLEAN,94.8,39.0
-0.57,-1.25,CLEAN,94.5,41.0
-0.57,-1.25,CLEAN,94.1,44.0
-0.62,-1.23,CLEAN,93.9,46.0
-0.62,-1.23,CLEAN,93.6,48.0
-0.71,-1.17,CLEAN,93.2,51.0
-0.52,-1.12,CLEAN,92.9,53.0
-0.52,-1.05,CLEAN,92.5,56.0
-0.59,-1.00,CLEAN,92.3,58.0
-0.79,-1.00,CLEAN,92.0,60.0
-1.18,-0.76,CLEAN,91.6,63.0
-1.52,-0.61,CLEAN,91.3,65.0
-1.47,-0.57,CLEAN,90.9,68.0
-1.52,-0.66,CLEAN,90.7,70.0
-1.62,-0.60,CLEAN,90.3,73.0
-1.53,-0.50,CLEAN,90.0,75.0
-1.20,-0.49,CLEAN,89.6,78.0
-1.25,-0.39,CLEAN,89.3,81.0
-1.16,-0.49,CLEAN,88.9,83.0
-1.44,-1.13,CLEAN,88.3,88.0
-1.51,-1.24,AVOID,87.7,92.0
-1.44,-1.19,AVOID,87.3,95.0
-1.46,-1.14,AVOID,86.9,98.0
-1.41,-1.15,AVOID,86.7,100.0
-1.45,-1.10,AVOID,86.4,102.0
-1.43,-0.98,CLEAN,85.7,107.0
-1.20,-0.76,CLEAN,85.5,109.0
-0.95,-0.57,CLEAN,84.9,113.0
-0.94,-0.64,CLEAN,84.7,115.0
-0.97,-0.61,CLEAN,84.4,117.0
-1.06,-0.66,CLEAN,84.0,120.0
-0.04,-1.83,CLEAN,83.1,127.0
0.81,-1.58,CLEAN,82.4,132.0
1.43,-0.85,CLEAN,81.6,138.0
1.17,-0.84,CLEAN,81.3,140.0
-0.99,-1.27,CLEAN,80.0,150.0
0.28,-1.17,CLEAN,79.1,157.0
0.81,-1.05,CLEAN,78.7,160.0
1.20,-0.96,CLEAN,78.4,162.0
1.44,-0.90,CLEAN,78.0,165.0
0.72,-0.05,CLEAN,77.1,172.0
0.21,-0.11,CLEAN,76.7,175.0
-1.94,-0.10,AVOID,75.5,184.0
-2.05,-0.08,AVOID,75.1,187.0
-2.08,-0.09,AVOID,74.7,190.0
-2.07,-0.13,AVOID,74.4,192.0
-2.08,-0.10,AVOID,74.1,194.0
-2.00,-0.15,CLEAN,73.5,199.0
-1.90,0.00,CLEAN,73.2,201.0
-1.93,0.30,CLEAN,72.8,204.0
-1.81,0.39,AVOID,72.5,206.0
-1.64,0.32,CLEAN,72.0,210.0
-1.56,0.32,CLEAN,71.6,213.0
-1.27,0.09,CLEAN,71.2,217.0
-0.96,-0.10,CLEAN,70.8,219.0
-0.59,-0.26,CLEAN,70.3,223.0
-0.29,-0.32,CLEAN,70.0,225.0
-0.16,-0.40,CLEAN,69.3,230.0
-0.25,-0.48,CLEAN,68.9,233.0
-1.26,-0.77,CLEAN,68.1,239.0
-0.36,0.27,CLEAN,67.1,247.0
0.76,0.03,CLEAN,66.1,254.0
0.91,-0.09,CLEAN,65.2,261.0
0.81,0.00,CLEAN,64.7,265.0
0.35,0.68,CLEAN,63.3,275.0
-0.39,0.85,CLEAN,62.4,282.0
-0.45,0.75,CLEAN,62.0,285.0
-0.52,0.71,CLEAN,61.6,288.0
-0.75,0.73,AVOID,58.9,308.0
-0.71,0.72,AVOID,58.5,311.0
-0.26,0.46,CLEAN,57.7,317.0
-0.20,0.48,CLEAN,57.5,319.0
-0.12,1.22,CLEAN,56.7,325.0
0.19,1.31,CLEAN,56.0,330.0
1.20,1.65,CLEAN,54.0,345.0
1.21,1.63,CLEAN,53.6,348.0
1.23,1.68,CLEAN,53.3,350.0
1.28,1.64,CLEAN,52.9,353.0
1.20,1.67,CLEAN,52.7,355.0
1.76,1.46,CLEAN,52.0,360.0
1.84,1.19,AVOID,51.5,364.0
1.80,1.06,AVOID,51.1,367.0
-0.07,1.22,CLEAN,49.9,376.0
-0.45,1.51,CLEAN,46.3,403.0
-0.55,1.48,CLEAN,46.0,405.0
-0.48,1.56,CLEAN,45.6,408.0
-0.24,1.58,CLEAN,45.3,410.0
-0.34,-0.49,AVOID,43.6,423.0
-0.47,-0.21,CLEAN,43.2,426.0
-0.45,-0.25,CLEAN,42.8,429.0
-0.59,-0.16,CLEAN,42.3,433.0
-0.31,0.08,CLEAN,41.9,436.0
0.18,0.46,CLEAN,41.3,440.0
1.92,-1.78,WANDER,39.6,453.0
1.96,-2.04,AVOID,39.3,455.0
2.00,-2.02,AVOID,38.9,458.0
2.05,-2.02,AVOID,38.7,461.0
2.05,-2.05,AVOID,38.3,463.0
1.88,-2.01,WANDER,37.7,467.0
1.48,-1.95,WANDER,37.5,469.0
0.99,-1.89,WANDER,37.1,472.0
0.51,-1.83,WANDER,36.8,474.0
0.15,-1.78,WANDER,36.5,476.0
-0.33,-1.72,WANDER,36.1,479.0
-0.83,-1.65,WANDER,35.7,482.0
-1.32,-1.59,WANDER,35.3,485.0
-1.43,-1.61,AVOID,35.1,487.0
-1.41,-1.61,AVOID,34.7,490.0
-1.42,-1.28,WANDER,34.3,493.0
-1.42,-1.17,AVOID,34.0,495.0
-1.43,-1.11,AVOID,33.6,498.0
-1.42,-1.12,AVOID,33.3,500.0
-1.54,-1.03,AVOID,32.8,504.0
-2.09,-0.75,AVOID,32.3,508.0
-2.16,-0.57,AVOID,31.7,512.0
-2.06,1.77,AVOID,30.3,523.0
-2.04,1.73,AVOID,30.0,525.0
-2.03,2.04,AVOID,29.6,528.0
-1.95,2.16,AVOID,29.2,531.0
-0.05,2.01,WANDER,27.5,544.0
-0.05,1.91,WANDER,26.8,549.0
-0.06,1.50,WANDER,24.8,564.0
0.12,1.31,WANDER,24.4,567.0
0.23,1.31,WANDER,24.1,569.0
0.12,1.21,WANDER,23.2,576.0
0.34,1.32,WANDER,22.8,579.0
1.01,1.08,WANDER,21.9,586.0
1.39,0.99,AVOID,21.6,588.0
1.38,1.11,AVOID,21.2,591.0
1.35,0.95,AVOID,20.7,595.0
1.22,-0.46,TRACK,19.6,603.0
1.36,-0.57,TRACK,19.3,605.0
